순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,예가대비 투찰률(%)  A,기초대비 투찰률(%),순공사대비 사정률(%),추첨번호,투찰일시,비고
-110,1188111165,주식회사 세원이엔피디,,분석,406540567,89.763,90.907,0.3966 (100.3966),5 1,2022/05/02 13:07:03,심사제외
-111,2148781807,(주)창리정보통신,,분석,406537298,89.762,90.906,0.3957 (100.3957),9 13,2022/05/03 09:42:23,심사제외
-112,1208802896,주식회사 라임에스엔씨,,분석,406533420,89.761,90.905,0.3948 (100.3948),11 15,2022/04/29 12:17:48,심사제외
-113,2068170480,(주)금성전력기술,,분석,406530849,89.76,90.905,0.3942 (100.3942),5 10,2022/05/02 09:15:52,심사제외
-114,2108131394,(주)안나시스템,,분석,406516225,89.757,90.901,0.3905 (100.3905),4 2,2022/04/29 10:02:02,심사제외
-115,1198658528,진솔이앤에스 주식회사,,분석,406511006,89.756,90.9,0.3892 (100.3892),10 4,2022/05/02 10:19:09,심사제외
-116,1208609672,(주)디에스티인터내셔날,,분석,406508180,89.755,90.899,0.3886 (100.3886),8 13,2022/04/29 14:11:15,심사제외
-117,1148190678,주식회사 에드원,,분석,406503800,89.754,90.898,0.3875 (100.3875),15 13,2022/05/03 11:54:17,심사제외
-118,2158747516,(주) 제이에스통신정보,,분석,406487926,89.75,90.895,0.3836 (100.3836),4 1,2022/05/02 08:18:30,심사제외
-119,2148675138,(주)대호아이티에스,,분석,406487530,89.75,90.895,0.3835 (100.3835),6 14,2022/05/02 14:26:38,심사제외
-120,1138694415,건웅정보통신 주식회사,,분석,406483200,89.749,90.894,0.3824 (100.3824),11 8,2022/05/02 08:59:53,심사제외
-121,2148122183,(주)하나전기,,분석,406474819,89.747,90.892,0.3803 (100.3803),6 11,2022/05/02 16:23:18,심사제외
-122,1208663604,주식회사 한은씨앤씨,,분석,406467680,89.746,90.89,0.3786 (100.3786),15 13,2022/05/03 10:26:27,심사제외
-123,8268102035,주식회사 더블유엔에스,,분석,406454800,89.743,90.888,0.3754 (100.3754),9 8,2022/04/30 10:23:38,심사제외
-124,2158603049,유니넷텍(주),,분석,406454300,89.743,90.887,0.3752 (100.3752),15 4,2022/05/03 09:12:54,심사제외
-125,2068685955,주식회사 스마트웍스,,분석,406453101,89.742,90.887,0.3750 (100.375),15 11,2022/05/02 22:05:29,심사제외
-126,3738701418,주식회사 에스비넷,,분석,406434970,89.738,90.883,0.3705 (100.3705),9 15,2022/05/02 13:37:36,심사제외
-127,6318800044,화인씨엔이 주식회사,,분석,406430465,89.737,90.882,0.3694 (100.3694),9 12,2022/05/02 14:41:26,심사제외
-128,3388801483,주식회사 에버그린티앤씨,,분석,406427600,89.736,90.881,0.3687 (100.3687),5 4,2022/04/29 10:59:51,심사제외
-129,6058166688,(주)세계아이티씨,,분석,406423900,89.735,90.881,0.3677 (100.3677),13 3,2022/05/03 08:52:41,심사제외
-130,1098603593,주식회사 완일이씨에스,,분석,406418680,89.734,90.879,0.3664 (100.3664),13 3,2022/05/02 05:51:08,심사제외
-131,2028136758,주식회사 남양계전,,분석,406414000,89.733,90.878,0.3653 (100.3653),10 5,2022/05/03 13:33:39,심사제외
-132,2138180142,서울아이디시스템(주),,분석,406409700,89.732,90.877,0.3642 (100.3642),14 4,2022/05/02 14:04:37,심사제외
-133,8568800361,주식회사 우선기술,,분석,406402080,89.73,90.876,0.3624 (100.3624),11 12,2022/05/02 11:33:46,심사제외
-134,1108175530,주식회사창조씨엔에스,,분석,406386700,89.727,90.872,0.3586 (100.3586),12 10,2022/04/30 23:53:30,심사제외
-135,1171187825,신원전자,,분석,406382620,89.726,90.871,0.3575 (100.3575),14 7,2022/05/02 11:28:37,심사제외
-136,1018172790,(주)공신데이타,,분석,406382237,89.726,90.871,0.3575 (100.3575),9 6,2022/05/02 09:47:37,심사제외
-137,1188109785,주식회사 안세기술,,분석,406381830,89.726,90.871,0.3573 (100.3573),12 14,2022/05/02 10:28:20,심사제외
-138,1048140865,다이아몬드전자(주),,분석,406366040,89.722,90.868,0.3535 (100.3535),9 3,2022/05/02 15:32:53,심사제외
-139,1108174749,유프로시스(주),,분석,406359156,89.72,90.866,0.3518 (100.3518),3 13,2022/04/29 11:11:56,심사제외
-140,1168137418,두레옵트로닉스 주식회사,,분석,406346200,89.717,90.863,0.3486 (100.3486),7 5,2022/05/03 09:18:26,심사제외
-141,2108108684,주식회사 대금이앤아이,,분석,406344430,89.717,90.863,0.3481 (100.3481),6 10,2022/05/01 05:35:03,심사제외
-142,7968600745,마스트아이엔씨 주식회사,,분석,406344370,89.717,90.863,0.3481 (100.3481),15 1,2022/04/30 15:10:57,심사제외
-143,2058126341,종합전기 주식회사,,분석,406338910,89.716,90.862,0.3468 (100.3468),1 11,2022/05/03 09:08:25,심사제외
-144,1208742187,주식회사 미소아이티,,분석,406325830,89.713,90.859,0.3435 (100.3435),12 8,2022/05/02 10:06:49,심사제외
-145,1198606485,주식회사 에이치엠솔루션,,분석,406322598,89.712,90.858,0.3427 (100.3427),14 5,2022/05/03 10:36:41,심사제외
-146,2158714581,씨엠티정보통신(주),,분석,406309117,89.709,90.855,0.3394 (100.3394),8 9,2022/05/03 09:53:42,심사제외
-147,1198646401,주식회사 보문테크닉스,,분석,406298011,89.706,90.852,0.3367 (100.3367),8 15,2022/05/02 08:33:23,심사제외
-148,6218602134,(주)플러스전력,,분석,406296391,89.706,90.852,0.3363 (100.3363),4 13,2022/05/02 17:46:04,심사제외
-149,1208782160,에스엔에스이서비스주식회사,,분석,406295380,89.706,90.852,0.3360 (100.336),2 14,2022/05/02 10:34:55,심사제외
-150,2128197392,금수티아이주식회사,,분석,406293750,89.705,90.851,0.3356 (100.3356),3 14,2022/05/02 09:00:26,심사제외
-151,2068663169,(주)지엠케이정보통신,,분석,406292700,89.705,90.851,0.3353 (100.3353),7 3,2022/04/29 10:56:18,심사제외
-152,7188100420,주식회사 오투정보통신,,분석,406280400,89.702,90.849,0.3323 (100.3323),13 11,2022/04/29 16:07:59,심사제외
-153,2188100686,주식회사 윈피앤에스,,분석,406278330,89.702,90.848,0.3318 (100.3318),14 12,2022/05/02 12:41:16,심사제외
-154,2208136760,주식회사 동아이엔지,,분석,406266430,89.699,90.845,0.3289 (100.3289),7 15,2022/05/02 10:08:17,심사제외
-155,1118128082,(주)디투엔지니어링,,분석,406253880,89.696,90.843,0.3258 (100.3258),1 13,2022/05/03 09:40:53,심사제외
-156,2042772836,정한상사,,분석,406245369,89.694,90.841,0.3237 (100.3237),11 5,2022/05/02 16:21:38,심사제외
-157,5048133604,주식회사다온네트웍스,,분석,406244560,89.694,90.84,0.3235 (100.3235),10 5,2022/05/02 14:07:57,심사제외
-158,1138163218,(주)신성하이텍,,분석,406244155,89.694,90.84,0.3234 (100.3234),5 12,2022/05/03 11:04:23,심사제외
-159,1058618361,한글정보통신(주),,분석,406233426,89.691,90.838,0.3207 (100.3207),13 5,2022/05/02 16:40:35,심사제외
-160,1358131171,(주)금성전기통신공사,,분석,406231260,89.691,90.838,0.3202 (100.3202),10 7,2022/04/29 10:52:36,심사제외
-161,2148639466,(주)동방데이타테크놀러지,,분석,406225130,89.689,90.836,0.3187 (100.3187),1 13,2022/05/02 12:29:17,심사제외
-162,2068184285,주식회사 진명파워택,,분석,406217668,89.688,90.834,0.3168 (100.3168),2 1,2022/05/03 09:38:13,심사제외
-163,1058671430,(주)디지탈씨오에스,,분석,406212230,89.686,90.833,0.3155 (100.3155),6 7,2022/05/03 09:12:25,심사제외
-164,1058169109,대조전설 주식회사,,분석,406212175,89.686,90.833,0.3155 (100.3155),12 1,2022/04/29 11:16:11,심사제외
-165,2141167760,세기정보통신,,분석,406184630,89.68,90.827,0.3087 (100.3087),15 14,2022/05/02 13:22:47,심사제외
-166,1068180878,주식회사 신보,,분석,406176150,89.678,90.825,0.3066 (100.3066),5 14,2022/05/03 08:32:48,심사제외
-167,1078677070,씨지에스아이티(주),,분석,406150630,89.672,90.819,0.3003 (100.3003),4 3,2022/05/02 19:30:42,심사제외
-168,1198153514,다린전력(주),,분석,406144000,89.671,90.818,0.2986 (100.2986),2 4,2022/05/02 10:35:44,심사제외
-169,2158754394,씨스존 주식회사,,분석,406142930,89.67,90.818,0.2984 (100.2984),6 15,2022/05/02 15:26:08,심사제외
-170,1068133832,(주)동양이엔씨,,분석,406136847,89.669,90.816,0.2969 (100.2969),8 13,2022/05/02 09:01:00,심사제외
-171,1078155407,(주)윤익계전,,분석,406132547,89.668,90.815,0.2958 (100.2958),13 6,2022/04/29 11:27:35,심사제외
-172,1198653668,에코아이넷(주),,분석,406129153,89.667,90.815,0.2950 (100.295),14 15,2022/05/03 09:03:25,심사제외
-173,2118640396,주식회사 선진콘트롤 엔 엑세스,,분석,406125910,89.666,90.814,0.2941 (100.2941),2 13,2022/05/02 16:50:25,심사제외
-174,2118645407,흥일정보통신(주),,분석,406106071,89.662,90.81,0.2892 (100.2892),12 8,2022/05/02 10:06:07,심사제외
-175,1138157962,(주)하이눈정보통신,,분석,406105770,89.662,90.809,0.2892 (100.2892),10 13,2022/05/01 15:35:12,심사제외
-176,1018144159,주식회사 넥선,,분석,406088250,89.658,90.806,0.2848 (100.2848),10 3,2022/04/29 13:29:12,심사제외
-177,6378801279,주식회사정암정보통신,,분석,406079350,89.656,90.804,0.2827 (100.2827),9 5,2022/05/02 09:46:57,심사제외
-178,1108139892,(주)이화텔레콤,,분석,406063675,89.652,90.8,0.2788 (100.2788),7 2,2022/05/02 09:18:37,심사제외
-179,1138640850,주식회사 우솔네트웍스,,분석,406061940,89.651,90.8,0.2784 (100.2784),15 10,2022/04/29 10:30:48,심사제외
