순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,예가대비 투찰률(%)  A,기초대비 투찰률(%),기초대비 사정률(%)  A,추첨번호,투찰일시,비고
-35,1058130768,세원전설 주식회사,최영래,분석,8503132138,85.28,86.771,0.44070 (100.4407),12 6,2022/10/25 16:01:02,
-36,2158603049,유니넷텍(주),김한호,분석,8502487000,85.273,86.764,0.43299 (100.43299),12 2,2022/10/25 16:04:21,
-37,2158138510,신신이앤씨주식회사,하상청,분석,8502017860,85.268,86.76,0.42740 (100.4274),2 8,2022/10/24 13:03:07,
-38,1248625392,(주)파워텔레콤,조호연,분석,8501908950,85.267,86.759,0.42610 (100.4261),3 5,2022/10/25 08:08:31,
-39,1068610926,주식회사 인테크,이상국,분석,8501221945,85.26,86.752,0.41790 (100.4179),14 9,2022/10/25 11:10:32,
-40,5028181250,오션파워콤(주),유영록,분석,8500593592,85.253,86.745,0.41040 (100.4104),13 7,2022/10/25 22:02:37,
-41,2338108902,주식회사 빛이라,임영기,분석,8499979000,85.246,86.739,0.40306 (100.40306),11 6,2022/10/25 15:38:58,
-42,3128114629,태양정보통신 주식회사,민장기,분석,8499903450,85.245,86.738,0.40216 (100.40216),12 14,2022/10/25 16:48:17,
-43,5148146407,참조은정보통신주식회사,차중은,분석,8499621740,85.242,86.735,0.39880 (100.3988),1 3,2022/10/25 09:45:23,
-44,2128606988,원강정보통신 주식회사,우강원,분석,8498574400,85.231,86.725,0.38629 (100.38629),11 7,2022/10/25 13:32:34,
-45,6158117317,주식회사 케이투,박성환,분석,8498440430,85.23,86.723,0.38469 (100.38469),6 9,2022/10/24 19:15:12,
-46,6075760026,강서정보,김재용,분석,8498339900,85.228,86.722,0.38350 (100.3835),15 8,2022/10/23 18:43:10,
-47,1358604626,타스코 주식회사,박주완,분석,8497778570,85.222,86.716,0.37679 (100.37679),1 6,2022/10/24 09:23:40,
-48,1218623930,주식회사 도빈,정오성,분석,8497681514,85.221,86.715,0.37564 (100.37564),12 3,2022/10/25 09:22:11,
-49,3018110579,대원전기 주식회사,권세원,분석,8497218910,85.216,86.711,0.37011 (100.37011),2 6,2022/10/19 10:24:58,
-50,6068643965,(주)무진산업기술,남윤정,분석,8497181300,85.216,86.71,0.36967 (100.36967),1 6,2022/10/25 09:44:12,
-51,3018634386,주식회사 아이티엔에스,김향여,분석,8496953160,85.213,86.708,0.36694 (100.36694),12 13,2022/10/25 11:08:29,
-52,1188113673,동해정보통신 주식회사,이창원,분석,8496823475,85.212,86.707,0.36540 (100.3654),15 5,2022/10/21 11:19:14,
-53,4078600433,주식회사 강성티이씨,이기양,분석,8496602295,85.21,86.704,0.36276 (100.36276),5 9,2022/10/24 15:09:07,
-54,1198153514,다린전력(주),오승한,분석,8496477600,85.208,86.703,0.36127 (100.36127),13 2,2022/10/25 10:04:34,
-55,1308124466,삼형전자 주식회사,박영원,분석,8495667306,85.2,86.695,0.35160 (100.3516),14 15,2022/10/26 08:51:49,
-56,2178114305,주식회사 광문정보통신,서정만,분석,8495441090,85.197,86.693,0.34889 (100.34889),8 9,2022/10/25 10:00:00,
-57,1318612600,주식회사 석원정보통신,조정현,분석,8495382800,85.196,86.692,0.34820 (100.3482),13 6,2022/10/25 12:16:04,
-58,5038135521,해솔정보통신 주식회사,조우현,분석,8494578161,85.188,86.684,0.33860 (100.3386),15 2,2022/10/25 11:42:50,
-59,3128119473,일광전설(주),이성집,분석,8494226493,85.184,86.68,0.33440 (100.3344),1 15,2022/10/25 12:56:06,
-60,5028119116,주식회사 대전사,신명계,분석,8494000000,85.182,86.678,0.33169 (100.33169),13 15,2022/10/21 09:26:02,
-61,3078129741,을지정보통신주식회사,오태균,분석,8491966700,85.16,86.657,0.30742 (100.30742),8 9,2022/10/24 16:51:27,
-62,1348197923,대승정보통신 주식회사,최승곤,분석,8491670981,85.156,86.654,0.30389 (100.30389),2 8,2022/10/24 07:54:39,
-63,4028141375,주식회사 이레유비크,박임철,분석,8490908580,85.148,86.646,0.29480 (100.2948),6 9,2022/10/20 13:26:42,
-64,2148752525,(주)엘티네트워크,조완식,분석,8490818098,85.147,86.645,0.29372 (100.29372),14 7,2022/10/20 10:43:36,
-65,2208716640,주식회사 아이텍파워,정찬원,분석,8490447790,85.143,86.642,0.28930 (100.2893),15 2,2022/10/24 10:52:29,
-66,3018194619,주식회사 에스웨이,윤태옥,분석,8489961860,85.138,86.637,0.28349 (100.28349),7 8,2022/10/25 13:41:07,
-67,1288707976,주식회사 컴포스,조수봉,분석,8489707200,85.135,86.634,0.28046 (100.28046),13 2,2022/10/20 09:44:05,
-68,1328146205,주식회사 다성아이앤에스,이명훈,분석,8489532068,85.133,86.632,0.27837 (100.27837),14 15,2022/10/26 09:00:24,
-69,1288137731,주식회사 지아이,김현승,분석,8489266190,85.13,86.63,0.27519 (100.27519),1 11,2022/10/24 10:56:57,
-70,1138141835,주식회사 고려티에스아이,이중석,분석,8488713530,85.124,86.624,0.26859 (100.26859),12 6,2022/10/24 15:13:14,
-71,1318630777,주식회사 대명텔레콤,김명규,분석,8488370030,85.121,86.62,0.26449 (100.26449),10 15,2022/10/24 11:38:54,
-72,4128102608,주식회사 남양에스티엔,최승곤,분석,8488135480,85.118,86.618,0.26170 (100.2617),15 2,2022/10/24 16:55:04,
-73,2158168163,블루엔이(주),정홍채,분석,8487247378,85.109,86.609,0.25110 (100.2511),8 9,2022/10/24 15:43:43,
-74,2218114978,합자회사 동양아이텍,고광만,분석,8487113328,85.107,86.608,0.24949 (100.24949),13 9,2022/10/24 10:47:05,
-75,3848700549,주식회사 길네트웍스,박상길,분석,8486040940,85.096,86.597,0.23670 (100.2367),12 14,2022/10/26 09:25:35,
-76,5078106538,주식회사 이로,김영택,분석,8485992974,85.095,86.596,0.23612 (100.23612),6 9,2022/10/25 16:39:48,
-77,1058625329,주식회사 윈미디텍,강명환,분석,8485893132,85.094,86.595,0.23493 (100.23493),11 7,2022/10/25 12:49:37,
-78,3058123509,중앙통신 주식회사,한의동,분석,8485776614,85.093,86.594,0.23354 (100.23354),1 12,2022/10/19 09:11:40,
-79,5158121277,(주)세계로,박찬후,분석,8485337500,85.088,86.589,0.22830 (100.2283),3 6,2022/10/25 14:01:33,
-80,2098121862,거우전설주식회사,김영훈,분석,8485329000,85.088,86.589,0.22820 (100.2282),3 7,2022/10/24 16:36:50,
-81,1180673427,한마음정보시스템,정인숙,분석,8485228270,85.087,86.588,0.22700 (100.227),2 7,2022/10/25 10:47:00,
-82,1288160023,지앤티테크주식회사,홍은혜,분석,8485155800,85.086,86.588,0.22613 (100.22613),12 15,2022/10/19 09:55:32,
-83,3058129861,주식회사 캔텔,백우현,분석,8484657769,85.081,86.583,0.22019 (100.22019),13 15,2022/10/25 10:58:26,
-84,8428700706,주식회사 퍼스트텍,양영선,분석,8484557690,85.08,86.581,0.21899 (100.21899),5 7,2022/10/24 09:01:51,
-85,2068179706,(주)씨엠유니버샬,전재용,분석,8484514461,85.079,86.581,0.21848 (100.21848),5 8,2022/10/25 09:46:25,
-86,1328138608,주식회사 서광기전,김광일,분석,8484281580,85.077,86.579,0.21570 (100.2157),2 6,2022/10/25 09:20:56,
-87,3018158097,(주)광영,이영균,분석,8484174500,85.075,86.578,0.21442 (100.21442),6 7,2022/10/25 16:57:18,
-88,6091953586,FT MARINE,강세호,분석,8484020157,85.074,86.576,0.21258 (100.21258),12 14,2022/10/19 09:45:53,
-89,7318700857,주식회사 새빛날,정미령,분석,8483942250,85.073,86.575,0.21165 (100.21165),2 7,2022/10/25 10:58:57,
-90,4888701893,주식회사 제이씨큐,주은영,분석,8483837000,85.072,86.574,0.21039 (100.21039),1 11,2022/10/21 17:25:00,
