
,순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,가격점수,예가대비 투찰률(%)  A,기초대비 투찰률(%),기초대비 사정률(%)  A,추첨번호,투찰일시,비고
3,54,2148122183,(주)하나전기,김선식,분석,221174000.0,85.8,88.207,88.818,0.44154 (100.44154),2 4,2024/10/29 19:49:38,
4,55,1088193869,(주)동명텔레콤,김경은,분석,221179150.0,85.8,88.209,88.82,0.44389 (100.44389),3 2,2024/10/29 14:24:13,
5,56,1068674463,주식회사 리번드,임성일,분석,221184566.0,85.8,88.211,88.822,0.44637 (100.44637),7 6,2024/10/30 10:41:54,
6,57,1428168147,주식회사 다옴건설,이창석,분석,221210000.0,85.6,88.222,88.832,0.45801 (100.45801),2 3,2024/10/30 13:50:18,
7,58,2298109203,(주)테스콤엔지니어링,박영복,분석,221224000.0,85.4,88.228,88.838,0.46442 (100.46442),11 14,2024/10/30 17:11:36,
8,59,1188109975,(주)부광네트워크,박경진,분석,221226400.0,85.4,88.229,88.839,0.46552 (100.46552),4 14,2024/10/30 10:36:00,
9,60,1138163218,(주)신성하이텍,성성모,분석,221237950.0,85.4,88.234,88.844,0.47080 (100.4708),1 9,2024/10/30 14:17:06,
10,61,1068619820,주식회사유엔콘트롤,남성모,분석,221239810.0,85.2,88.235,88.844,0.47166 (100.47166),7 15,2024/10/29 16:39:59,
11,62,2208108546,경림전기(주),김인형,분석,221343030.0,85.0,88.279,88.886,0.51890 (100.5189),8 7,2024/10/29 14:31:53,
12,63,2118743406,보성통신기술(주),오영배,분석,221349370.0,85.0,88.281,88.888,0.52180 (100.5218),7 4,2024/10/31 09:35:19,
13,64,2068184285,주식회사 진명파워택,이명규,분석,221362586.0,85.0,88.287,88.894,0.52785 (100.52785),15 6,2024/10/31 09:53:09,
14,65,2058140829,원앤원산업개발(주),배애순,분석,221364220.0,85.0,88.288,88.894,0.52859 (100.52859),8 3,2024/10/29 14:04:19,
15,66,1198164802,주식회사 비아이넷,김동균,분석,221397000.0,85.0,88.302,88.908,0.54360 (100.5436),6 15,2024/10/30 15:51:06,
16,67,1138645971,주식회사 포딕스시스템,정재호,분석,221401516.0,85.0,88.304,88.909,0.54566 (100.54566),14 4,2024/10/31 11:44:19,
17,68,1048157783,(주)서울정보컴,고응준,분석,221419280.0,85.0,88.311,88.916,0.55379 (100.55379),12 3,2024/10/30 15:09:28,
18,69,1378143275,한창이웨이 주식회사,이옥희,분석,221429770.0,85.0,88.316,88.921,0.55859 (100.55859),2 3,2024/10/30 09:59:13,
19,70,1078162397,신용통신 주식회사,김형종,분석,221435600.0,85.0,88.318,88.923,0.56126 (100.56126),13 10,2024/10/30 11:23:46,
20,71,1298155066,일조텔레콤(주),김문섭,분석,221452060.0,85.0,88.325,88.93,0.56880 (100.5688),5 9,2024/10/31 11:24:32,
21,72,2158749469,(주)더블유에프텍,이영길,분석,221462550.0,85.0,88.33,88.934,0.57360 (100.5736),4 12,2024/10/30 13:30:02,
22,73,2148840477,주식회사 알비에스테크,김동헌,분석,221472977.0,85.0,88.334,88.938,0.57837 (100.57837),14 3,2024/10/31 09:13:35,
23,74,2128196942,동진이앤씨(주),민진식,분석,221474495.0,85.0,88.335,88.939,0.57906 (100.57906),3 14,2024/10/30 16:00:28,
24,75,2088100603,(주)전우사,김한재,분석,221484180.0,85.0,88.339,88.943,0.58350 (100.5835),8 6,2024/10/29 14:12:07,
25,76,1058660665,(주)일신전업,김한경,분석,221517610.0,85.0,88.353,88.956,0.59880 (100.5988),4 6,2024/10/30 19:11:11,
26,77,1168137418,두레옵트로닉스 주식회사,최수현,분석,221535050.0,85.0,88.36,88.963,0.60678 (100.60678),13 1,2024/10/30 15:44:16,
27,78,1198153493,(주)경성네트웍,편해용,분석,221556500.0,85.0,88.37,88.972,0.61659 (100.61659),6 4,2024/10/30 09:55:06,
28,79,1188115778,대신통신기술(주),김지영,분석,221579010.0,85.0,88.379,88.981,0.62690 (100.6269),10 9,2024/10/29 15:09:53,
29,80,1178152367,(주)브레인컨설팅,박수영,분석,221622050.0,85.0,88.397,88.998,0.64659 (100.64659),9 2,2024/10/30 13:39:42,
30,81,2128140491,(주)벧엘정보통신,이효진,분석,221622940.0,85.0,88.398,88.998,0.64700 (100.647),6 8,2024/10/31 06:23:12,
31,82,2208725440,(주) 매그넷,김종민,분석,221624920.0,85.0,88.399,88.999,0.64791 (100.64791),12 6,2024/10/30 16:14:22,
32,83,1041890207,삼정정보통신,이순봉,분석,221628990.0,85.0,88.4,89.001,0.64977 (100.64977),4 9,2024/10/30 10:30:52,
33,84,2148886584,주식회사 수민텔레콤,이상민,분석,221644560.0,85.0,88.407,89.007,0.65690 (100.6569),9 14,2024/10/29 14:27:50,
34,85,1358131171,(주)금성전기통신공사,김윤환,분석,221655920.0,85.0,88.412,89.012,0.66209 (100.66209),11 4,2024/10/29 14:16:46,
35,86,2108150348,승호시스템(주),이계승,분석,221731740.0,85.0,88.444,89.042,0.69679 (100.69679),6 14,2024/10/30 14:22:01,
36,87,1200582335,델타전자통신,이성남,분석,221739770.0,85.0,88.448,89.045,0.70047 (100.70047),13 4,2024/10/31 12:12:21,
37,88,1388113508,(주)이엔티파워,장정수,분석,221763880.0,85.0,88.458,89.055,0.71150 (100.7115),9 6,2024/10/30 23:55:11,
38,89,5258602705,(주)세화 텔링크,이옥임,분석,221779526.0,85.0,88.464,89.061,0.71866 (100.71866),10 2,2024/10/30 17:04:42,
39,90,2078147814,(주)대호엔지니어링,윤용상,분석,221853700.0,85.0,88.496,89.091,0.75261 (100.75261),14 12,2024/10/30 14:02:35,
40,91,1138175034,(주)윈플러스정보기술,정재원,분석,222068576.0,85.0,88.588,89.177,0.85095 (100.85095),3 12,2024/10/30 16:35:02,
41,92,3118701797,주식회사 이유넷,정현문,분석,222157760.0,85.0,88.625,89.213,0.89177 (100.89177),12 3,2024/10/30 14:52:17,
42,93,1198632979,성민전기 주식회사,김미영,분석,222164810.0,85.0,88.628,89.216,0.89500 (100.895),15 8,2024/10/31 11:20:46,
43,94,1198153402,고현건설(주),이화선,분석,222195400.0,85.0,88.641,89.228,0.90900 (100.909),6 7,2024/10/29 17:04:24,
44,95,8268102035,주식회사 더블유엔에스,박현준,분석,222221000.0,85.0,88.652,89.238,0.92071 (100.92071),13 10,2024/10/29 22:28:02,
45,96,1198658528,진솔이앤에스 주식회사,김정현,분석,222221668.0,85.0,88.653,89.239,0.92102 (100.92102),5 15,2024/10/30 16:01:58,
46,97,2037666794,금성텔레콤,정용상,분석,222637200.0,85.0,88.83,89.406,1.11119 (101.11119),8 7,2024/10/30 11:17:54,
47,98,1188111165,주식회사 세원이엔피디,이왕종,분석,222658403.0,85.0,88.839,89.414,1.12090 (101.1209),10 1,2024/10/31 11:33:21,
48,99,1778800569,주식회사 유원이씨에스,유명종,분석,222688133.0,85.0,88.851,89.426,1.13450 (101.1345),14 1,2024/10/31 09:05:07,
49,100,1078614075,엘지전자 주식회사,조주완,분석,223006000.0,85.0,88.987,89.554,1.27998 (101.27998),12 15,2024/10/29 14:07:30,
0,101,7478702262,주식회사테크윤,구연희,분석,224816800.0,85.0,89.757,90.281,2.10872 (102.10872),4 9,2024/10/30 08:45:05,
1,102,3708600747,엔에이정보통신 주식회사,나준제,분석,231000000.0,85.0,92.389,92.764,4.93855 (104.93855),14 9,2024/10/30 10:15:10,
2,103,1138615856,(주)서원티에스,김안수,분석,232067100.0,85.0,92.843,93.192,5.42692 (105.42692),12 15,2024/10/30 16:33:16,
3,-1,2018643926,두전네트웍스 주식회사,김병현,분석,220064580.0,84.8,87.735,88.372,-0.06620 (99.9338),10 9,2024/10/30 15:33:13,낙찰하한선 미달
4,-2,1018178116,(주)오경컴텍,김종근,분석,220062260.0,84.6,87.734,88.372,-0.06727 (99.93273),3 6,2024/10/31 09:54:17,낙찰하한선 미달
5,-3,1098150581,주식회사 우진파워텍,한용일,분석,220045350.0,84.6,87.726,88.365,-0.07501 (99.92499),3 1,2024/10/31 09:08:05,낙찰하한선 미달
6,-4,1188114949,이주씨스템(주),이복균,분석,220042110.0,84.6,87.725,88.363,-0.07649 (99.92351),7 9,2024/10/31 09:13:31,낙찰하한선 미달
7,-5,1108130339,(주)기양상사,조효진,분석,220041200.0,84.6,87.725,88.363,-0.07690 (99.9231),4 6,2024/10/30 09:32:33,낙찰하한선 미달
8,-6,1108155460,주식회사 자유전설,김상중,분석,220029620.0,84.4,87.72,88.358,-0.08220 (99.9178),8 10,2024/10/31 09:13:17,낙찰하한선 미달
9,-7,1138139080,(주)성강통신기술사사무소,안치영,분석,220026810.0,84.4,87.718,88.357,-0.08349 (99.91651),3 4,2024/10/31 09:36:50,낙찰하한선 미달
10,-8,1018642326,한우이앤에스(주),변준석,분석,220019132.0,84.4,87.715,88.354,-0.08700 (99.913),6 1,2024/10/30 15:26:35,낙찰하한선 미달
