,순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,예가대비 투찰률(%)  A,기초대비 투찰률(%),기초대비 사정률(%)  A,추첨번호,투찰일시,비고
23,74,2148626637,(주)아이엔지시스템,김정화,분석,84832500,88.073,87.748,-0.56841 (99.43159),11 12,2024/04/22 07:25:19,
24,75,2117299696,성원전자통신,성기신,분석,84836650,88.077,87.752,-0.56352 (99.43648),3 8,2024/04/23 19:30:26,
25,76,4048800118,주식회사 앙츠,박창진,분석,84839799,88.081,87.755,-0.55980 (99.4402),3 10,2024/04/23 17:58:37,
26,77,4468801407,(주)큐엔큐,장나미,분석,84841150,88.082,87.757,-0.55821 (99.44179),3 4,2024/04/19 16:31:43,
27,78,2098132812,주식회사 피치테크,이현철,분석,84849384,88.091,87.765,-0.54850 (99.4515),11 14,2024/04/23 09:12:05,
28,79,1078658471,비케이앤파워컴 주식회사,김정훈,분석,84849400,88.091,87.765,-0.54849 (99.45151),3 13,2024/04/23 10:57:07,
29,80,1138683636,주식회사 온택,허윤훈,분석,84851330,88.093,87.767,-0.54621 (99.45379),11 3,2024/04/23 10:27:06,
30,81,2728602835,(주)주야플랜트,김대완,분석,84853290,88.095,87.769,-0.54390 (99.4561),8 2,2024/04/22 12:42:26,
31,82,5198102535,주식회사 이음유앤아이,박영재,분석,84858240,88.101,87.775,-0.53806 (99.46194),3 1,2024/04/22 15:53:48,
32,83,1198670916,주식회사 에이치앤아이씨,정용훈,분석,84858700,88.101,87.775,-0.53752 (99.46248),3 4,2024/04/22 10:26:19,
33,84,1108174749,유프로시스(주),김종본,분석,84858880,88.102,87.775,-0.53731 (99.46269),2 15,2024/04/19 14:22:38,
34,85,1088159691,(주)다우텔레콤,이영순,분석,84858884,88.102,87.775,-0.53731 (99.46269),14 8,2024/04/23 19:40:55,
35,86,1058167417,(주)금정엔지니어링,구본신,분석,84864060,88.107,87.781,-0.53120 (99.4688),8 10,2024/04/23 17:30:34,
36,87,2048170015,(주)하남통신,김종화,분석,84865527,88.109,87.782,-0.52947 (99.47053),1 5,2024/04/24 08:26:10,
37,88,1058660665,(주)일신전업,김한경,분석,84872203,88.116,87.789,-0.52160 (99.4784),6 10,2024/04/24 08:11:54,
38,89,2188114856,서교정보통신(주),김기설,분석,84873137,88.117,87.79,-0.52050 (99.4795),3 13,2024/04/23 19:52:07,
39,90,2138610414,(주)성창기전,지광섭,분석,84875341,88.119,87.792,-0.51791 (99.48209),8 14,2024/04/24 09:37:22,
40,91,2068157319,주식회사 에스엘정보통신,채용석,분석,84875639,88.12,87.793,-0.51755 (99.48245),11 13,2024/04/23 09:24:56,
41,92,1108175433,승림이앤씨(주),박기철,분석,84881000,88.126,87.798,-0.51123 (99.48877),10 11,2024/04/22 13:37:03,
42,93,2178143187,(주)미디어밸리렛,전필숙,분석,84882382,88.127,87.799,-0.50961 (99.49039),3 8,2024/04/19 13:21:47,
43,94,2148854189,(주)태원전기,김응식,분석,84883315,88.128,87.8,-0.50851 (99.49149),5 13,2024/04/23 15:46:36,
44,95,2028801388,주식회사 지앤솔루션,황효정,분석,84887557,88.133,87.805,-0.50350 (99.4965),9 5,2024/04/22 16:41:25,
45,96,2098124011,(주)주암전기통신,정한석,분석,84888067,88.133,87.805,-0.50290 (99.4971),1 9,2024/04/22 09:39:53,
46,97,1148676763,유토피아정보기술(주),안종섭,분석,84890611,88.136,87.808,-0.49990 (99.5001),8 7,2024/04/23 08:55:17,
47,98,2118716291,(주)유토닉스,박찬호,분석,84891300,88.137,87.809,-0.49909 (99.50091),2 8,2024/04/22 15:10:28,
48,99,2208108546,경림전기(주),김인형,분석,84892050,88.138,87.809,-0.49821 (99.50179),5 8,2024/04/22 09:32:40,
49,100,2098134940,주식회사윤송이엔씨,정윤계,분석,84892130,88.138,87.81,-0.49811 (99.50189),5 8,2024/04/23 09:59:22,
0,101,1098611773,주식회사상현엔지니어링,이재권,분석,84894900,88.141,87.812,-0.49485 (99.50515),9 1,2024/04/24 09:21:01,
