,순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,예가대비 투찰률(%),기초대비 투찰률(%),기초대비 사정률(%),추첨번호,투찰일시,비고
26,127,1138195817,(주)베스트일렉트로닉스,최경원,분석,46182470.0,87.873,87.811,0.07528 (100.07528),9 8,2024/05/22 08:38:28,
27,128,1198611222,(주)제이에이티,이세창,분석,46182600.0,87.873,87.811,0.07556 (100.07556),12 10,2024/05/21 16:33:07,
28,129,1068632013,하나씨앤아이 주식회사,김용주,분석,46182890.0,87.874,87.811,0.07619 (100.07619),2 6,2024/05/21 14:14:47,
29,130,1068198683,주식회사 포인트정보,강미혜,분석,46183262.0,87.874,87.812,0.07700 (100.077),12 6,2024/05/23 07:28:33,
30,131,1098153915,하비넷정보통신(주),이종훈,분석,46183830.0,87.875,87.813,0.07823 (100.07823),14 8,2024/05/22 17:14:06,
31,132,2208605262,주식회사 트리엠,김동수,분석,46184090.0,87.876,87.814,0.07879 (100.07879),6 12,2024/05/21 16:48:38,
32,133,2298139274,(주)영풍전력설비,심문수,분석,46184300.0,87.876,87.814,0.07925 (100.07925),15 1,2024/05/21 10:16:18,
33,134,2068617141,(주)텔코아,황민석,분석,46184560.0,87.877,87.815,0.07981 (100.07981),2 4,2024/05/21 17:13:50,
34,135,1058110006,삼성전기산업 주식회사,박소연,분석,46186770.0,87.881,87.819,0.08460 (100.0846),3 1,2024/05/22 16:37:49,
35,136,4778800659,더파트주식회사,강현준,분석,46186825.0,87.881,87.819,0.08472 (100.08472),5 2,2024/05/21 17:24:15,
36,137,1078619629,염광전기통신(주),최인재,분석,46187415.0,87.882,87.82,0.08600 (100.086),15 13,2024/05/21 16:45:21,
37,138,1068638093,(주)엘케이시스코,이기일,분석,46187990.0,87.883,87.821,0.08724 (100.08724),9 7,2024/05/22 09:57:06,
38,139,2958800474,주식회사 원정보기술원,송은자,분석,46188340.0,87.884,87.822,0.08800 (100.088),13 14,2024/05/23 08:44:51,
39,140,1308179388,(주)원우이엔지,서병일,분석,46188570.0,87.884,87.822,0.08850 (100.0885),12 5,2024/05/22 11:43:36,
40,141,1208711248,(주)리얼아이씨티,변성암,분석,46191890.0,87.891,87.828,0.09569 (100.09569),10 2,2024/05/22 09:31:04,
41,142,1318672272,주식회사 디지오디오,김정구,분석,46192203.0,87.891,87.829,0.09637 (100.09637),8 4,2024/05/21 17:54:31,
