id,공고번호,공고제목,발주처(수요기관),지역제한,기초금액,예정가격,예가범위,A값,투찰률(%),참여업체수,공고구분표시,정답사정률(%)
564,20160310937-00,2016년 한강 이촌권역 자연성회복 통신공사,서울특별시,서울,152744000,153299275,+3% ~ -3%,0,87.745,935,,0.36353
565,20160314216-00,상도터널 CCTV 교체공사-남부,서울특별시/서울특별시,서울,132590000,133013350,+3% ~ -3%,0,87.745,931,기,0.31929
566,20160314191-00,상도터널관리실 통합관제시스템 구축 통신공사-남부,서울특별시/서울특별시,서울,96860000,95796050,+3% ~ -3%,0,87.745,918,기,-1.09845
567,20160314121-00,서울기록원 건립 통신공사(장기계속),서울특별시/서울특별시,전국/서울,751412000,747065125,+3% ~ -3%,0,86.745,1001,기/의무,-0.57850
568,20160317931-00,2016년 역사내 천장형스피커 보완공사,서울교통공사,서울,18189440,18315850,+3% ~ -3%,0,87.745,723,,0.69496
569,20160316907-00,2016년도 대기오염 통합경보 운영 시스템 구축 용역 (긴급공고),인천광역시,서울/인천/경기,55000000,55298825,+3% ~ -3%,0,87.745,12,,0.54331
570,20160312195-00,종로3가등 2역 승강편의시설 교체관련 전자설비 이설공사,서울특별시,서울,6483568,6471925,+3% ~ -3%,0,87.745,362,,-0.17958
571,20160320970-00,전쟁기념관 전관 및 대회의실 방송장비 이전설치 공사 견적입찰공고(긴급),국방부,서울/인천/경기,98370000,97962300,+2% ~ -2%,0,87.745,172,,-0.41446
572,20160315005-00,무단투 스마트 경고판 설치,서울특별시,서울,17204000,17234750,+3% ~ -3%,0,87.745,249,기,0.17873
573,20160309841-00,보라매공원 현장근로자 근로환경 개선공사(통신),서울특별시,서울,24860000,24778000,+3% ~ -3%,0,87.745,832,기,-0.32985
574,E01-16-01779,2016년도 보안감시시스템 교체공사,한국전력공사,서울,88018729,83299194,0% ~ -8%,0,87.745,673,,-5.36197
575,20160313353-00,2016년 IP 교환기 및 부대장비 유지관리 용역,서울특별시,서울,36000000,35684500,+3% ~ -3%,0,87.745,13,,-0.87639
576,20160312646-00,경부선 신길역 영상감시설비 보수공사,한국철도공사,서울,8650000,8443875,0% ~ -4%,0,87.745,406,기,-2.38295
577,20160314902-00,2016년 민방위 경보시설 유지보수용역,경기도,서울/경기,27000000,26909275,+3% ~ -3%,0,87.745,14,연기,-0.33602
578,20160307293-00,2016년 CCTV시스템 유지보수공사(연간단가),서울특별시,서울,30000000,30274725,+3% ~ -3%,0,87.745,717,기,0.91575
579,2016-01-000016-00,평창올림픽지원 기존선고속화 통신설비 신설공사,국가철도공단,서울,409236000,408027310,+2.5% ~ -2.5%,0,86.335,531,협정,-0.29536
580,20160303461-00,관악산공원 문성지구 다목적실내체육관 건립공사(통신),서울특별시,서울,58165000,58463300,+3% ~ -3%,0,87.745,1021,,0.51285
581,20160307208-00,서울관악우체국 키폰주장치 교체공사,과학기술정보통신부,서울,29400000,29537775,+2% ~ -2%,0,87.745,788,기,0.46862
582,20160301076-00,문정컬쳐밸리 조성 정보통신공사,서울주택도시공사,서울,359765000,358971750,+3% ~ -3%,0,86.745,906,기/협정,-0.22050
583,20160230841-00,가칭)서울구심초등학교 신축 통신 공사,서울지방조달청/서울특별시교육청,전국/서울,715652000,721472100,+3% ~ -3%,0,86.745,1018,기/의무,0.81325
584,20160303130-00,가락몰 판매동 지하1층 통신시설 보완공사 (긴급공고),서울특별시농수산식품공사,서울,132682000,132473075,+3% ~ -3%,0,87.745,930,기,-0.15747
585,20160300432-01,2016년 다목적 CCTV 설치공사 (긴급공고) (정정공고),서울특별시,전국/서울,837100000,834067650,+3% ~ -3%,0,86.745,129,기/정/의무,-0.36225
586,20160301320-00,공동구 CCTV 감시 시스템 정비공사,서울시설공단,서울,45814000,46276450,+3% ~ -3%,0,87.745,261,기,1.00940
587,20160236138-00,별관동 증축 통신공사,사회복지법인,서울,57724700,58257125,+3% ~ -3%,0,87.745,1006,기,0.92235
588,20160235750-00,창동역 이동편의시설 설치 전자공사,서울교통공사,서울,65172360,64527400,+3% ~ -3%,0,87.745,976,기,-0.98963
589,20160234296-00,명륜길28 공영주차장 및 복합시설 신축공사(통신),서울특별시,서울,181846000,178701950,+3% ~ -3%,0,87.745,921,,-1.72897
590,20160231121-00,서남권 50+ 캠퍼스 건립 통신공사(장기계속),서울특별시/서울특별시,전국/서울,566610000,561152175,+3% ~ -3%,0,86.745,1009,기/의무,-0.96325
591,20160217133-00,금호고 신축 통신공사,서울지방조달청/서울특별시교육청,서울,487006000,489660225,+3% ~ -3%,0,86.745,873,기/협정,0.54500
592,E01-16-01203,2016년 직할 계통보호전송장치 교체공사,한국전력공사,서울,77228218,75258631,0% ~ -8%,0,87.745,707,,-2.55035
593,20160222238-01,고척교전망대 및 만탄치안센터 신축 통신공사 (공고),서울특별시,서울,31999000,31844975,+3% ~ -3%,0,87.745,906,정,-0.48135
594,20160224996-00,북부여성창업플라자 조성 통신공사 (긴급공고),서울특별시,서울,366091000,364083050,+3% ~ -3%,0,86.745,907,기,-0.54849
595,20160217811-00,지하철 종로3가역 내부 승강편의시설(1단계)설치 전자공사,서울교통공사,서울,178286000,176631550,+3% ~ -3%,0,87.745,903,기,-0.92798
596,20160219830-00,2016년 터널 및 지하차도 라디오재방송설비 유지보수용역,서울특별시,서울,33020900,32990900,+3% ~ -3%,0,87.745,247,,-0.09086
597,20160223620-00,2016년 1차 신규상가 조성에 따른 정보통신공사,서울교통공사,서울,70276500,69754750,+3% ~ -3%,0,87.745,1011,,-0.74243
598,20160217233-00,2016년 동대문(1)역 화장실 확충에 따른 전자공사,서울교통공사,서울,35589300,35086675,+3% ~ -3%,0,87.745,896,기,-1.41230
599,20160217576-00,2016년 서울방배경찰서 전산장비유지보수 용역,경찰청,서울/경기,19000000,18986300,+2% ~ -2%,0,88,14,,-0.07211
600,20160213918-00,연대앞 지하보도 창작놀이센터 통신공사,서울특별시,서울,23705000,23681275,+3% ~ -3%,0,87.745,877,기,-0.10009
601,20160210875-00,"수도권 환승역 승강편의시설 정보통신공사(수서역,창동역)",서울교통공사,서울,164133700,164348350,+3% ~ -3%,0,87.745,914,기,0.13077
602,20160215630-00,2016년 통신장비 유지보수 용역 수의계약 견적 제출 공고,재단법인,서울/경기,34051000,34432250,+3% ~ -3%,0,87.745,14,기,1.11964
603,E01-16-00854,2016년 가공-지중복합선로 접속부 실시간 감시 CCTV 설치공사,한국전력공사,서울/경기,115871256,111792891,0% ~ -8%,0,87.745,902,협정,-3.51974
604,20160210824-00,직장어린이집 신축 통신공사,서울과학기술대학교,서울,47487000,47163650,+2% ~ -2%,0,87.745,976,,-0.68093
605,20160213629-00,2016년도 서울영등포경찰서 전산장비유지보수용역,경찰청,서울/경기,21000000,20941250,+2% ~ -2%,0,88,24,기,-0.27977
606,20160213649-00,구립잠실국민연금어린이집 리모델링 공사(정보통신),서울특별시,서울,20494100,20570850,+3% ~ -3%,0,87.745,846,기,0.37449
607,E01-16-00708,2016년 계통보호전송장치(PITR) 교체공사,한국전력공사,서울,78787732,76255144,0% ~ -8%,0,87.745,741,,-3.21445
608,E01-16-00689,154kV 마곡-가양T/L 광케이블 시설공사,한국전력공사,서울,40933404,39369853,0% ~ -8%,0,87.745,733,,-3.81975
609,20160212667-00,2016년 신용산역 등 2개역 화장실 확충에 따른 정보통신공사,서울교통공사,서울,43948760,43739500,+3% ~ -3%,0,87.745,976,,-0.47615
610,20160212608-00,경복궁역외 1역 화장실 확충에 따른 정보통신공사,서울교통공사,서울,45580300,45856375,+3% ~ -3%,0,87.745,974,,0.60568
611,20160207499-00,2016년 서울구로경찰서 전산장비유지보수 용역,경찰청,서울,20500000,20468450,+2% ~ -2%,0,88,33,기,-0.15391
612,E01-16-00662,강남P/O 관내 계통보호전송장치(PITR) 교체공사,한국전력공사,서울/경기,202105774,193072175,0% ~ -8%,0,87.745,1294,,-4.46974
613,20160207634-00,방학초 체육관 증축 통신공사 (단년도 차수계약) (긴급공고),서울특별시교육청,서울,120943000,120496775,+3% ~ -3%,0,87.745,865,,-0.36896
614,20160206490-00,수락초 강당 겸 체육관 증축 통신공사,서울특별시교육청,서울,57772000,57991450,+3% ~ -3%,0,87.745,970,기,0.37985
615,20160206487-00,한천중 강당 겸 체육관 증축 통신공사,서울특별시교육청,서울,55460000,55449400,+3% ~ -3%,0,87.745,969,기,-0.01912
616,20160120368-00,(가칭)서울미사리초 교사신축 통신공사,서울지방조달청/서울특별시교육청,전국/서울,625809000,631987350,+3% ~ -3%,0,86.745,965,기/의무,0.98725
617,20160202379-00,2016년 서울관악경찰서 전산장비 유지보수 용역,경찰청,서울/경기,23000000,22801325,+2% ~ -2%,0,88,11,,-0.86381
618,20160120160-00,국립전통예술중고등학교 CCTV 개선공사,서울지방조달청/문화체육관광부,서울,119234000,117685225,+2% ~ -2%,0,87.745,847,기/협정,-1.29894
619,20160121206-00,Everrich 서울청사(10층) 노후시설 개선공사(통신),과학기술정보통신부,서울,31000000,30916575,+2% ~ -2%,0,87.745,724,기,-0.26912
620,20160116036-00,서대문 다목적적체육관 건립(증축) 공사(통신)-장계속,서울특별시,서울,241619000,240325775,+3% ~ -3%,0,87.745,915,기,-0.53524
621,20160116844-00,당산2동 제2어린이집 신축 통신공사,서울특별시,서울,23958000,23907150,+3% ~ -3%,0,87.745,809,기,-0.21225
622,20160116184-00,"2015년 대림대학교 강의실 및 실습실환경개선공사 (수암,퇴계,율곡,정보통신관)-통신공사 (긴급공고)",대림대학교,서울/인천/경기,95224000,95529250,+2% ~ -2%,0,87.745,886,기,0.32055
623,20160113496-00,2016년도 의정부지방검찰청 정보통신시설 유지보수 용역 (긴급공고) (재공고),대검찰청,서울/가평/고양/구리/남양주/동두천/양주/연천/의정부/파주/포천/철원,28100000,28394750,+2% ~ -2%,0,88,12,기,1.04893
624,2015-01-000250-00,김포도시철도 통신선로 신설 기타공사,국가철도공단,전국/서울/경기,0,6698329000,0% ~ -5%,0,-,523,의무,85.495
625,20160115755-00,상설전시실 전시영상기기 및 관련장비 유지관리 용역,문화체육관광부,서울,17500000,17492250,+2% ~ -2%,0,88,39,,-0.04429
626,20160112999-00,충정로역등 5개역 노후전기실 개량에 따른 정보통신공사,서울교통공사,서울,12357800,12357575,+3% ~ -3%,0,87.745,584,,-0.00183
627,20160109519-00,종로1234가동 청사 신축 공사(통신) (긴급공고),서울특별시,서울,115566000,113589575,+3% ~ -3%,0,87.745,892,기,-1.71022
628,20160107486-00,2016년 행정정보통신망 설치공사(연간단가),서울특별시,서울,80399000,80494325,+3% ~ -3%,0,87.745,922,기,0.11856
629,20160106835-00,2016년 버스정보안내시스템(BIS)유지보수 용역 (긴급공고),경기도,서울/경기,94000000,94089100,+3% ~ -3%,0,87.745,16,,0.09478
630,20160105229-00,성동소방서 신축 통신공사(장기계속),서울특별시/서울특별시,전국/서울,602888000,602484100,+3% ~ -3%,0,86.745,996,기/의무,-0.06700
631,20160107990-00,고척중학교 강당겸체육관 증축 통신 공사,서울특별시교육청,서울,47746000,47199125,+3% ~ -3%,0,87.745,957,기,-1.14539
632,20160106833-00,2016년도 의정부지방검찰청 정보통신시설 유지보수 용역,대검찰청,서울/가평/고양/구리/남양주/동두천/양주/연천/의정부/파주/포천/철원,28100000,28030775,+2% ~ -2%,0,88,16,,-0.24636
633,20151229754-00,L3 연구동 건설공사 (통신) (긴급공고),서울지방조달청/한국과학기술연구원,전국/서울,2997922000,3019229800,+2% ~ -2%,0,86.745,740,기/의무,0.71075
634,20160106519-00,2016년도 버스정보시스템(BIS)유지보수,경기도,서울/경기,49000000,48668075,+3% ~ -3%,0,87.745,15,기,-0.67740
635,20160106204-00,서울천왕초등학교 일반교실 전환 통신공사 소액수의 견적 제출,서울특별시교육청,서울,34353000,34274225,+3% ~ -3%,0,87.745,869,기,-0.22932
636,20151228948-00,마천지구 3단지 도시형생활주택 및 거여동 12-1 장기전세주택 정보통신공사,서울주택도시공사,전국/서울,1015435000,1018362050,+3% ~ -3%,0,86.745,983,기/의무,0.28825
637,20160102612-00,2016년 용인문화재단 전산장비 통합유지관리,재단법인,서울/경기,21719620,21524300,+3% ~ -3%,0,87.745,14,,-0.89928
638,20160100662-00,2016년 한강공원 승강기 CCTV 및 인터폰 유지관리 용역,서울특별시,서울,95000000,93942200,+3% ~ -3%,0,87.745,205,,-1.11348
639,20160100594-00,2016년 한강공원 나들목 감시장치 유지관리 용역,서울특별시,서울,107000000,108101625,+3% ~ -3%,0,87.745,226,,1.02955
640,20160101485-00,장애인종합복지관 건립(리모델링) 통신공사 (긴급공고),서울특별시,서울,158004000,155702700,+3% ~ -3%,0,87.745,929,,-1.45649
641,20160104261-00,2016년 공영주차장 주차관제 및 CCTV시스템 유지보수(연간단가) (재공고),서울특별시,서울,24000000,24019900,+3% ~ -3%,0,87.745,14,,0.08291
642,20160101042-00,2016년 지하차도 라디오재방송설비 유지관리점검용역,서울시설공단,서울/경기,12386460,12416100,+3% ~ -3%,0,90,12,기,0.23929
643,20151229780-00,서울대학교 공과대학 소방(방송)설비보수공사,서울대학교,서울/경기,71544000,71363575,+2% ~ -2%,0,87.745,311,,-0.25219
644,20160100584-00,2016년 공영주차장 주차관제 및 CCTV시스템 유지보수(연간단가),서울특별시,서울,24000000,24158425,+3% ~ -3%,0,87.745,23,기,0.66010
645,20151228708-00,2016년도 서울동부지방검찰청 정보통신시설 유지보수 용역,대검찰청,서울,34100000,34200725,+2% ~ -2%,0,88,11,,0.29538
646,20151228783-00,개포디지털혁신파크조성 통신공사,서울특별시,서울,282233000,278165375,+3% ~ -3%,0,87.745,919,,-1.44123
