순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,예가대비 투찰률(%)  A,기초대비 투찰률(%),기초대비 사정률(%)  A,추첨번호,투찰일시,비고
64,8268102035,주식회사 더블유엔에스,박현준,분석,390886700,86.527,86.58,-0.56481 (99.43519),3 5,2021/12/13 10:40:00,
65,7848600209,주식회사 아이알디통신,곽이현,분석,390895088,86.529,86.582,-0.56265 (99.43735),1 8,2021/12/15 09:23:46,
66,1078619861,주식회사 하이텍영상,최종만,분석,390925905,86.537,86.589,-0.55475 (99.44525),12 2,2021/12/16 00:35:38,
67,2148132740,(주)융시스템,박진기,분석,390934650,86.539,86.591,-0.55250 (99.4475),12 6,2021/12/15 16:56:10,
68,2208104161,대신정보기술 주식회사,이광호,분석,390956000,86.544,86.596,-0.54703 (99.45297),1 8,2021/12/15 17:16:27,
69,1078658471,우암정보통신 주식회사,김정훈,분석,390995844,86.553,86.605,-0.53680 (99.4632),15 9,2021/12/14 09:46:00,
70,1180673427,한마음정보시스템,정인숙,분석,391000748,86.554,86.606,-0.53555 (99.46445),14 3,2021/12/15 09:30:17,
71,1018151140,(주)사운드솔루션,이홍,분석,391012490,86.557,86.608,-0.53253 (99.46747),4 5,2021/12/15 17:10:49,
72,2048170015,(주)하남통신,김종화,분석,391040512,86.564,86.614,-0.52535 (99.47465),1 4,2021/12/14 09:37:21,
73,1328105709,(주)왕선전설,조정현,분석,391046904,86.565,86.616,-0.52371 (99.47629),4 6,2021/12/16 08:12:47,
74,2148180640,(주)남인정보통신,김남호,분석,391047294,86.565,86.616,-0.52361 (99.47639),13 4,2021/12/14 15:29:03,
75,1098626994,주식회사 에이치엔엠,성기용,분석,391057859,86.568,86.618,-0.52089 (99.47911),6 9,2021/12/15 16:17:47,
76,2038143631,주식회사 티시스,최창성,분석,391073410,86.571,86.622,-0.51690 (99.4831),5 6,2021/12/16 09:21:27,
77,1058178229,아마노코리아(주),전명진,분석,391092118,86.576,86.626,-0.51211 (99.48789),1 11,2021/12/14 08:39:18,
78,1198192370,(주)신관산업,이철재,분석,391107516,86.579,86.629,-0.50815 (99.49185),15 8,2021/12/13 09:24:29,
79,2118145912,영남전기통신 주식회사,장한목,분석,391113265,86.581,86.631,-0.50668 (99.49332),13 6,2021/12/15 11:24:52,
80,1108179327,(주) 유엘네트웍스,정재순,분석,391155457,86.591,86.64,-0.49586 (99.50414),4 5,2021/12/15 14:24:52,
81,1018172790,(주)공신데이타,서만식,분석,391188784,86.599,86.647,-0.48730 (99.5127),11 4,2021/12/14 20:02:54,
82,2148811443,(주)우신지엘에스,문경종,분석,391199690,86.601,86.65,-0.48451 (99.51549),11 5,2021/12/13 17:06:27,
83,2038164674,(주)컴버스테크,이돈원,분석,391206970,86.603,86.651,-0.48264 (99.51736),1 12,2021/12/15 16:53:17,
84,1108131416,중앙하이텔 주식회사,김광헌,분석,391208660,86.603,86.652,-0.48221 (99.51779),1 13,2021/12/15 10:46:36,
85,1058608183,코위버(주),황인환,분석,391259015,86.615,86.663,-0.46929 (99.53071),14 7,2021/12/15 09:41:28,
86,1288141176,주식회사 와이씨스템,장영찬,분석,391269857,86.618,86.665,-0.46650 (99.5335),5 7,2021/12/13 11:20:53,
87,1058606899,이화티티씨(주),이선정,분석,391271805,86.618,86.666,-0.46601 (99.53399),3 4,2021/12/15 17:24:26,
88,2068213088,사단법인장애인동반성장협회,정영석,분석,391273367,86.619,86.666,-0.46560 (99.5344),3 4,2021/12/14 09:53:55,
89,4568800195,주식회사 동부코리아통신,윤미옥,분석,391304938,86.626,86.673,-0.45750 (99.5425),3 9,2021/12/16 09:45:07,
90,1062873386,이행정보통신공사,오흥식,분석,391323920,86.63,86.677,-0.45263 (99.54737),4 8,2021/12/13 11:08:58,
91,2158191475,(주)디앤씨코퍼레이션,엄삼섭,분석,391341185,86.635,86.681,-0.44821 (99.55179),13 14,2021/12/15 10:43:32,
92,1098185343,주식회사 오티에스씨,이승환,분석,391364962,86.64,86.686,-0.44211 (99.55789),3 6,2021/12/16 09:31:40,
93,2168100638,원흥전설(주),이제호,분석,391367600,86.641,86.687,-0.44143 (99.55857),12 15,2021/12/15 10:53:58,
94,2058140076,(주)제일첨단테크,김성수,분석,391374317,86.642,86.688,-0.43970 (99.5603),12 5,2021/12/16 08:43:53,
95,2158640952,(주)에스티탑,민기동,분석,391378995,86.643,86.689,-0.43850 (99.5615),10 5,2021/12/16 08:46:35,
96,1018197466,주식회사콤위즈,정윤권,분석,391396150,86.648,86.693,-0.43410 (99.5659),1 12,2021/12/15 10:56:27,
97,2158691790,에이브이에스텍(주),박주영,분석,391405880,86.65,86.695,-0.43161 (99.56839),15 4,2021/12/15 17:12:30,
98,2158643395,민네트워크(주),황상택,분석,391406700,86.65,86.696,-0.43140 (99.5686),1 6,2021/12/14 15:14:53,
99,1178188899,주식회사 시큐렉스,최영희,분석,391411735,86.651,86.697,-0.43011 (99.56989),13 9,2021/12/15 14:40:41,
100,2078148017,(주)명신시스템,노근식,분석,391428880,86.655,86.7,-0.42571 (99.57429),1 7,2021/12/13 16:51:24,
101,1058188805,(주)경성텔레콤,김천수,분석,391517830,86.676,86.72,-0.40289 (99.59711),14 15,2021/12/15 09:51:15,
102,1108190166,(주)페타네트워크,강인희,분석,391538803,86.681,86.725,-0.39750 (99.6025),11 6,2021/12/14 08:22:59,
103,2138633324,(주)서경엔씨에스,김진태,분석,391539397,86.681,86.725,-0.39735 (99.60265),13 9,2021/12/13 09:05:51,
104,1098611773,주식회사상현엔지니어링,이재권,분석,391547380,86.683,86.727,-0.39530 (99.6047),11 7,2021/12/15 22:46:27,
105,2148620797,(주)세인씨앤씨,조정화,분석,391586740,86.692,86.735,-0.38521 (99.61479),13 2,2021/12/14 16:36:47,
106,1068678514,주식회사 인프라이엔씨,김병훈,분석,391606820,86.697,86.74,-0.38005 (99.61995),15 3,2021/12/15 15:04:49,
107,1208663604,주식회사 한은씨앤씨,김기현,분석,391625330,86.702,86.744,-0.37531 (99.62469),7 8,2021/12/16 09:11:18,
108,1198130210,(주)와이드넷엔지니어링,이맹훈,분석,391629620,86.703,86.745,-0.37421 (99.62579),3 7,2021/12/14 16:20:40,
109,1018675701,주식회사 두이정보통신,정영희,분석,391653639,86.708,86.75,-0.36804 (99.63196),14 6,2021/12/14 11:34:25,
110,1198611746,(주)지트인,김재환,분석,391654567,86.708,86.75,-0.36780 (99.6322),3 6,2021/12/14 16:34:16,
111,2048620126,(주)상부사종합건설,이상만,분석,391654880,86.709,86.751,-0.36772 (99.63228),3 8,2021/12/15 22:23:09,
112,1128148285,(주)백제이앤씨,손흥도,분석,391654956,86.709,86.751,-0.36770 (99.6323),11 12,2021/12/16 06:47:52,
113,2066762193,보성통신,문용권,분석,391664310,86.711,86.753,-0.36531 (99.63469),13 2,2021/12/15 09:35:39,
114,1738100739,주식회사 이음테크넷,임봉순,분석,391674834,86.713,86.755,-0.36261 (99.63739),12 5,2021/12/16 09:59:13,
115,1198609084,주식회사 유니씨엔에스,박경임,분석,391697052,86.719,86.76,-0.35690 (99.6431),3 4,2021/12/15 11:09:13,
116,1298155066,일조텔레콤(주),김문섭,분석,391703290,86.72,86.761,-0.35530 (99.6447),3 5,2021/12/15 11:31:35,
117,1138131356,중원기전(주),김창중,분석,391713790,86.722,86.764,-0.35261 (99.64739),10 6,2021/12/15 09:21:29,
118,1170233690,화진정보통신,김병철,분석,391716931,86.723,86.764,-0.35180 (99.6482),12 2,2021/12/15 10:20:10,
119,1138106099,기전통신(주),윤기영,분석,391737000,86.728,86.769,-0.34666 (99.65334),3 6,2021/12/15 16:08:40,
120,1188115778,대신통신기술(주),김지영,분석,391742660,86.729,86.77,-0.34520 (99.6548),12 4,2021/12/14 15:37:01,
