순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,예가대비 투찰률(%)  A,기초대비 투찰률(%),기초대비 사정률(%)  A,추첨번호,투찰일시,비고
190,1138183325,주식회사금강전력,오영선,분석,738377880,87.26,87.844,0.29664 (100.29664),,2020/04/13 17:19:42,
191,1132250448,대영ELS,황준영,분석,738383556,87.261,87.845,0.29742 (100.29742),,2020/04/16 10:38:04,
192,2060871389,경일건설,이상학,분석,738393883,87.262,87.846,0.29883 (100.29883),,2020/04/17 12:53:48,
193,2158148186,시스텍전기통신(주),전진우,분석,738411288,87.265,87.848,0.30122 (100.30122),,2020/04/16 10:33:49,
194,2048150440,명진전기건설주식회사,강명호,분석,738426564,87.267,87.85,0.30332 (100.30332),,2020/04/16 17:15:54,
195,1198192235,(주)성림파워넷,임성수,분석,738437300,87.268,87.851,0.30479 (100.30479),,2020/04/14 17:26:57,
196,1888700107,주식회사 전원이앤엘,윤병태,분석,738437355,87.268,87.851,0.30480 (100.3048),,2020/04/16 09:39:12,
197,2148188924,우민전기(주),이학표,분석,738444646,87.269,87.852,0.30580 (100.3058),,2020/04/16 14:34:09,
198,2208761714,(주)희상리인포스,노광근,분석,738468000,87.272,87.855,0.30900 (100.309),,2020/04/16 17:47:01,
199,1118128082,(주)디투엔지니어링,김낙경,분석,738483290,87.274,87.856,0.31110 (100.3111),,2020/04/17 09:52:04,
200,1058672201,유니테크전설(주),최미숙,분석,738506622,87.277,87.859,0.31430 (100.3143),,2020/04/16 15:12:30,
201,2158676085,(주)제이엠파워텍,이재만,분석,738517559,87.278,87.861,0.31580 (100.3158),,2020/04/16 11:34:09,
201,1098627732,(주)세종이엔지,방석진,분석,738517559,87.278,87.861,0.31580 (100.3158),,2020/04/17 08:26:16,
203,2068601178,주식회사 해인이티에프,오재근,분석,738530028,87.28,87.862,0.31751 (100.31751),,2020/04/16 13:34:39,
204,2128118209,상명전기(주),정찬조,분석,738573700,87.285,87.867,0.32349 (100.32349),,2020/04/16 17:15:17,
205,1058730625,주식회사 신한네오텍,강미순,분석,738583912,87.287,87.868,0.32490 (100.3249),,2020/04/16 15:57:44,
206,2128179545,(주) 한주전력,이병건,분석,738589014,87.287,87.869,0.32559 (100.32559),,2020/04/16 18:41:03,
207,2108108684,주식회사 대금이앤아이,김종우,분석,738605790,87.289,87.871,0.32790 (100.3279),,2020/04/13 14:13:59,
208,2100667463,세진전설공사,신윤환,분석,738613422,87.29,87.872,0.32894 (100.32894),,2020/04/17 09:08:49,
209,1058737201,주식회사 그린중전기,김종철,분석,738627659,87.292,87.874,0.33090 (100.3309),,2020/04/17 12:20:57,
210,2118743406,보성통신기술(주),장승익,분석,738655220,87.296,87.877,0.33468 (100.33468),,2020/04/17 09:38:02,
211,1138142173,(주)오무전기,강인순,분석,738694000,87.301,87.882,0.33999 (100.33999),,2020/04/14 17:11:00,
212,3048701391,(주)성안전기,김흥로,분석,738731920,87.305,87.886,0.34519 (100.34519),,2020/04/17 09:47:49,
213,2198106704,유복전기(주),유정식,분석,738763570,87.309,87.89,0.34954 (100.34954),,2020/04/09 15:45:03,
214,2118193336,(주)국제비엠에스,윤도선,분석,738805000,87.315,87.895,0.35522 (100.35522),,2020/04/16 16:14:38,
215,1138612373,(주)영진상공,김창숙,분석,738832120,87.318,87.898,0.35894 (100.35894),,2020/04/17 07:00:37,
216,1078158651,동남아전설(주),박형규,분석,738863180,87.322,87.902,0.36320 (100.3632),,2020/04/16 20:15:13,
217,6218182225,주식회사 이스트 전력기술,박경희,분석,738877750,87.324,87.903,0.36519 (100.36519),,2020/04/16 14:48:03,
218,2158138510,신신이앤씨주식회사,하대청,분석,738882792,87.325,87.904,0.36589 (100.36589),,2020/04/13 10:49:49,
