,순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,예가대비 투찰률(%)  A,기초대비 투찰률(%),기초대비 사정률(%)  A,추첨번호,투찰일시,비고
27,178,2158159534,하이텍앤솔 주식회사,정구천,분석,40619030,88.155,88.065,-0.35156 (99.64844),11 7,2024/04/01 18:59:15,
28,179,1058688514,(주)엠티에스정보기술,신현준,분석,40619050,88.155,88.065,-0.35151 (99.64849),4 5,2024/03/29 10:55:49,
29,180,7998800243,주식회사 비티엘정보통신,최성진,분석,40619130,88.155,88.066,-0.35132 (99.64868),2 12,2024/04/01 17:14:09,
30,181,1298104500,주식회사 상지카일룸,김영신,분석,40619860,88.157,88.067,-0.34951 (99.65049),12 4,2024/03/29 13:42:48,
31,182,1078162422,프라미스유 주식회사,박정은,분석,40619980,88.157,88.067,-0.34922 (99.65078),5 13,2024/03/31 20:38:15,
32,183,1648602515,주식회사 바른엔씨티,하성일,분석,40620300,88.158,88.068,-0.34843 (99.65157),12 15,2024/03/30 07:30:35,
33,184,5348702778,주식회사 텝섹,양홍열,분석,40620430,88.158,88.068,-0.34810 (99.6519),4 11,2024/04/01 14:08:28,
34,185,2158164599,앤에스씨정보시스템(주),한만영,분석,40620730,88.159,88.069,-0.34736 (99.65264),5 3,2024/03/29 09:17:54,
35,186,1108176581,주식회사 비에스텍,윤희주,분석,40621025,88.16,88.07,-0.34663 (99.65337),4 12,2024/04/02 09:09:05,
36,187,1248691271,주식회사 티팩토리,최형석,분석,40621080,88.16,88.07,-0.34650 (99.6535),13 1,2024/03/29 09:59:34,
37,188,1088114068,(주)대인정보통신,유재호,분석,40623020,88.164,88.074,-0.34170 (99.6583),1 8,2024/04/01 09:46:36,
38,189,1068167098,코스믹전기통신 주식회사,이규선,분석,40623100,88.164,88.074,-0.34151 (99.65849),13 7,2024/04/02 09:04:08,
39,190,1288138083,주식회사 유앤후레쉬,우재명,분석,40624460,88.168,88.077,-0.33815 (99.66185),14 13,2024/04/01 21:01:11,
40,191,1058645188,(주)삼구정보통신,강준재,분석,40625120,88.169,88.079,-0.33652 (99.66348),2 15,2024/04/01 16:38:29,
41,191,2158769714,주식회사 누리엔에스,박봉기,분석,40625120,88.169,88.079,-0.33652 (99.66348),2 5,2024/03/29 17:17:35,
42,193,1178188899,주식회사 시큐렉스,최영희,분석,40625773,88.171,88.08,-0.33490 (99.6651),5 3,2024/03/28 08:49:40,
43,194,5528801885,주식회사 정도아이넷,장일석,분석,40625780,88.171,88.08,-0.33488 (99.66512),8 2,2024/04/01 10:25:57,
