,순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,예가대비 투찰률(%)  A,기초대비 투찰률(%),기초대비 사정률(%)  A,추첨번호,투찰일시,비고
17,118,2978801542,주식회사 로아,김진민,분석,4737835790,85.999,86.067,-0.31055 (99.68945),10 3,2024/07/25 09:20:20,
18,119,2048161869,(주)근영이엔씨,이성영,분석,4737870867,86.0,86.068,-0.30980 (99.6902),10 6,2024/07/24 04:31:28,
19,120,1248158831,빛샘전자(주),강명구,분석,4737884090,86.0,86.068,-0.30952 (99.69048),11 13,2024/07/23 09:46:25,
20,121,4028126447,(유)딕스,박상진,분석,4738183810,86.006,86.074,-0.30316 (99.69684),15 6,2024/07/24 16:27:50,
21,122,5148148220,대경아이티 주식회사,장태용,분석,4738643500,86.015,86.082,-0.29339 (99.70661),13 8,2024/07/22 16:00:05,
22,123,8718100148,주식회사 금일이앤티,최용학,분석,4738720000,86.016,86.083,-0.29176 (99.70824),8 9,2024/07/18 14:42:41,
23,124,5068187130,주식회사 태원전기통신,설인호,분석,4739296850,86.028,86.094,-0.27951 (99.72049),13 4,2024/07/24 09:01:41,
24,125,1198157669,주식회사 유진네트웍스,박종길,분석,4739306266,86.028,86.094,-0.27930 (99.7207),1 3,2024/07/24 16:44:42,
25,126,3178105260,주식회사다몬시스템,김형민,분석,4739612175,86.034,86.1,-0.27280 (99.7272),13 9,2024/07/24 10:38:42,
26,127,2218146688,첨단정보통신 주식회사,이샛별,분석,4739633590,86.034,86.1,-0.27235 (99.72765),4 7,2024/07/23 14:26:12,
27,128,1298129762,화인정보통신(주),신용운,분석,4739960000,86.04,86.106,-0.26541 (99.73459),5 7,2024/07/23 09:34:27,
28,129,2278104556,(합)진광전기소방,김관식,분석,4740113255,86.043,86.109,-0.26216 (99.73784),12 2,2024/07/18 14:01:20,
29,130,3148180668,주식회사한넷텍,임승묵,분석,4740162812,86.044,86.11,-0.26111 (99.73889),11 6,2024/07/24 23:58:03,
30,131,1068619820,주식회사유엔콘트롤,남성모,분석,4740197000,86.045,86.11,-0.26038 (99.73962),2 7,2024/07/19 14:45:19,
31,132,2108156959,두레에스텍 주식회사,유의근,분석,4740246700,86.046,86.111,-0.25932 (99.74068),10 5,2024/07/22 17:32:27,
