순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,예가대비 투찰률(%)  A,기초대비 투찰률(%),기초대비 사정률(%)  A,추첨번호,투찰일시,비고
78,1098610416,(주)네시비스,이은섭,분석,59260163,88.037,89.001,1.13519 (101.13519),10 11,2021/09/28 09:21:53,
79,2148632162,신영전자통신(주),김성식,분석,59263100,88.041,89.006,1.14022 (101.14022),11 13,2021/09/28 10:26:23,
80,1298119624,우일계전공업 주식회사,백노현,분석,59267934,88.048,89.013,1.14850 (101.1485),3 10,2021/09/24 10:18:01,
81,1198175027,(주)케이웍스,김영주,분석,59270679,88.053,89.017,1.15319 (101.15319),15 4,2021/09/29 09:16:49,
81,1288618438,주식회사 엔지스웨이,최영재,분석,59270679,88.053,89.017,1.15319 (101.15319),11 5,2021/09/27 16:28:56,
83,1058740405,(주)화성이엔지,김택환,분석,59272901,88.056,89.021,1.15700 (101.157),13 8,2021/09/28 15:51:17,
84,1058191993,링크정보통신주식회사,이재호,분석,59277457,88.063,89.027,1.16480 (101.1648),8 13,2021/09/30 09:48:15,
85,1288717950,주식회사 비상정보통신,배경해,분석,59288206,88.079,89.044,1.18319 (101.18319),14 3,2021/09/30 09:25:21,
86,2208718861,(주)예스피치,김재중,분석,59288499,88.08,89.044,1.18370 (101.1837),9 7,2021/09/28 10:14:11,
87,1178186611,주식회사 에프에이일렉콤,박인숙,분석,59289024,88.08,89.045,1.18459 (101.18459),9 1,2021/09/29 09:49:53,
88,1138188878,주식회사 신영이엔티,이찬세,분석,59297030,88.093,89.057,1.19830 (101.1983),3 11,2021/09/27 14:38:55,
89,1088189685,주식회사 태산정보기술,채연옥,분석,59297145,88.093,89.057,1.19849 (101.19849),4 2,2021/09/29 09:59:47,
90,1058663420,(주)엠비에스엔지니어링,강형주,분석,59304915,88.105,89.069,1.21179 (101.21179),7 15,2021/09/29 15:45:46,
91,2068601047,왕건전기 주식회사,한미라,분석,59321409,88.13,89.093,1.24003 (101.24003),4 6,2021/09/30 08:04:11,
92,1048157783,(주)서울정보컴,고응준,분석,59322442,88.131,89.095,1.24179 (101.24179),8 1,2021/09/27 09:36:38,
93,3058138619,(주)사이버텔브릿지,남백산,분석,59330623,88.144,89.107,1.25580 (101.2558),11 7,2021/09/24 10:15:47,
94,2158184144,주영건설 주식회사,서봉원,분석,59334127,88.149,89.113,1.26179 (101.26179),9 2,2021/09/27 11:13:35,
95,2148840477,주식회사 알비에스테크,김동헌,분석,59345812,88.167,89.13,1.28180 (101.2818),3 5,2021/09/30 08:04:30,
96,1018154598,씨엔에스코리아(주),유호태,분석,59352282,88.177,89.14,1.29287 (101.29287),9 6,2021/09/23 10:19:22,
97,1128143733,공간미디어(주),김명숙,분석,59373657,88.209,89.172,1.32946 (101.32946),10 8,2021/09/30 07:54:37,
98,2078129117,경우전기(주),김한정,분석,59420470,88.28,89.242,1.40958 (101.40958),4 6,2021/09/28 14:42:03,
99,2170366237,염광통신공사,기홍용,분석,59438470,88.308,89.269,1.44039 (101.44039),14 13,2021/09/27 17:00:36,
100,1068678514,주식회사 인프라이엔씨,김병훈,분석,59457560,88.337,89.298,1.47307 (101.47307),11 1,2021/09/23 17:08:49,
101,1138636865,주식회사 정원시큐,염승호,분석,59458918,88.339,89.3,1.47539 (101.47539),1 7,2021/09/29 10:22:04,
102,1048120291,청음통신 주식회사,임광희,분석,59462000,88.344,89.305,1.48067 (101.48067),12 14,2021/09/30 09:39:17,
103,2128144463,동양비엠에스(주),김태수,분석,59514889,88.424,89.384,1.57120 (101.5712),12 9,2021/09/29 09:38:58,
104,1058648787,디노플러스 주식회사,강경숙,분석,59534199,88.454,89.413,1.60425 (101.60425),10 7,2021/09/26 19:12:53,
105,1268620622,(주)엑스코하이텍,박정현,분석,59534460,88.454,89.413,1.60469 (101.60469),13 1,2021/09/27 13:05:55,
106,2048124559,(주)대용와트스,남상태,분석,59540128,88.463,89.422,1.61440 (101.6144),10 13,2021/09/29 09:06:04,
107,1198611222,(주)제이에이티,이세창,분석,59567390,88.504,89.463,1.66106 (101.66106),1 8,2021/09/28 16:23:19,
108,1108155460,주식회사 자유전설,김상중,분석,59576000,88.517,89.476,1.67580 (101.6758),2 12,2021/09/30 08:24:55,
109,1198632979,성민전기 주식회사,김미영,분석,59590000,88.539,89.497,1.69976 (101.69976),9 11,2021/09/30 02:48:31,
110,1198658528,진솔이앤에스 주식회사,김정현,분석,59614676,88.576,89.534,1.74200 (101.742),3 8,2021/09/29 17:16:36,
111,1058694239,(주)진성전력,김용일,분석,59685860,88.684,89.641,1.86384 (101.86384),15 6,2021/09/25 07:51:59,
112,5568600846,주식회사 아이콘정보통신,박종일,분석,59686946,88.686,89.642,1.86570 (101.8657),8 10,2021/09/24 16:39:22,
113,2208110305,주식회사 일신이앤드씨,홍영남,분석,59710257,88.722,89.677,1.90560 (101.9056),1 4,2021/09/29 17:22:48,
