순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,예가대비 투찰률(%)  A,기초대비 투찰률(%),순공사대비 사정률(%),추첨번호,투찰일시,비고
-38,2068165615,(주)아이커머,,분석,500554115,87.153,88.566,0.5620 (100.562),6 1,2021/04/29 09:35:27,심사제외
-39,2108122973,인터컴넷(주),,분석,500549703,87.152,88.565,0.5611 (100.5611),5 9,2021/04/29 15:44:55,심사제외
-40,2098155983,주식회사 케이텍솔루션,,분석,500549613,87.152,88.565,0.5611 (100.5611),8 1,2021/04/29 08:36:05,심사제외
-41,2158727392,매컴정보통신(주),,분석,500548620,87.152,88.565,0.5609 (100.5609),10 13,2021/04/29 07:22:41,심사제외
-42,1078129777,(주)범우정보기술,,분석,500537369,87.15,88.563,0.5586 (100.5586),5 9,2021/04/28 13:11:25,심사제외
-43,1198188750,(주)코에버정보기술,,분석,500533187,87.149,88.562,0.5578 (100.5578),12 10,2021/04/29 16:59:19,심사제외
-44,2068650742,한선씨앤씨 주식회사,,분석,500523730,87.147,88.56,0.5559 (100.5559),9 15,2021/04/28 10:46:29,심사제외
-45,2018634956,주식회사 신성전자통신,,분석,500504599,87.144,88.557,0.5520 (100.552),9 8,2021/04/29 00:34:01,심사제외
-46,1208637260,에스피케이인크 주식회사,,분석,500502327,87.143,88.556,0.5516 (100.5516),14 9,2021/04/29 17:47:15,심사제외
-47,2058126341,종합전기 주식회사,,분석,500487195,87.141,88.554,0.5485 (100.5485),12 11,2021/04/29 09:14:00,심사제외
-48,1068615668,(주)솔로몬기술단기술사사무소,,분석,500483412,87.14,88.553,0.5478 (100.5478),8 4,2021/04/29 09:41:51,심사제외
-49,1138151895,주식회사 온리정보통신,,분석,500478933,87.139,88.552,0.5469 (100.5469),7 5,2021/04/29 16:26:28,심사제외
-50,8568800361,주식회사 우선기술,,분석,500454592,87.134,88.548,0.5420 (100.542),1 11,2021/04/28 09:14:37,심사제외
-51,1138188878,주식회사 신영이엔티,,분석,500442140,87.132,88.546,0.5395 (100.5395),12 8,2021/04/29 09:30:22,심사제외
-52,1188111020,주식회사 한영씨앤이,,분석,500433636,87.131,88.544,0.5378 (100.5378),3 10,2021/04/29 08:50:16,심사제외
-53,1328127945,부민통신 주식회사,,분석,500423183,87.129,88.542,0.5357 (100.5357),5 8,2021/04/28 13:33:40,심사제외
-54,2208143387,(주)글로벌텔레콤,,분석,500400496,87.124,88.538,0.5311 (100.5311),15 10,2021/04/28 15:47:28,심사제외
-55,2148690274,주식회사 유니콤넷,,분석,500384743,87.121,88.536,0.5279 (100.5279),14 11,2021/04/28 15:46:13,심사제외
-56,2118895916,주식회사 지오통신,,분석,500383860,87.121,88.535,0.5278 (100.5278),6 3,2021/04/28 13:52:39,심사제외
-57,1078161011,(주)장수커뮤니케이션즈,,분석,500373905,87.119,88.534,0.5258 (100.5258),13 5,2021/04/29 15:10:17,심사제외
-58,1098153822,서울텔엔지니어링(주),,분석,500368490,87.118,88.533,0.5247 (100.5247),14 10,2021/04/28 16:33:40,심사제외
-59,1178108842,풍성건설(주),,분석,500358475,87.116,88.531,0.5227 (100.5227),15 9,2021/04/30 08:25:30,심사제외
-60,1208117027,세안이엔씨 주식회사,,분석,500336076,87.112,88.527,0.5182 (100.5182),15 4,2021/04/30 08:24:00,심사제외
-61,2188106400,한양전자산업(주),,분석,500334085,87.112,88.527,0.5178 (100.5178),14 8,2021/04/30 09:47:18,심사제외
-62,4538100144,주식회사 파란아이티,,분석,500330100,87.111,88.526,0.5169 (100.5169),14 4,2021/04/30 09:30:51,심사제외
-63,2158754394,씨스존 주식회사,,분석,500314867,87.108,88.523,0.5139 (100.5139),4 5,2021/04/30 14:13:25,심사제외
-64,2178601498,주식회사 엔키텍,,분석,500303722,87.106,88.521,0.5117 (100.5117),13 10,2021/04/30 09:15:07,심사제외
-65,1198164229,(주) 이준시스템,,분석,500294500,87.104,88.52,0.5098 (100.5098),15 2,2021/04/28 17:20:54,심사제외
-66,2048133679,(주)뉴콤,,분석,500264890,87.099,88.514,0.5038 (100.5038),14 6,2021/04/28 15:19:07,심사제외
-67,1130259965,LG미래정보통신,,분석,500262900,87.099,88.514,0.5034 (100.5034),1 4,2021/04/30 07:16:50,심사제외
-68,2208175308,아이크래프트 주식회사,,분석,500261060,87.098,88.514,0.5031 (100.5031),11 8,2021/04/29 12:52:28,심사제외
-69,2338109463,주식회사 아이티에스서비스,,분석,500251457,87.096,88.512,0.5012 (100.5012),9 13,2021/04/28 17:02:32,심사제외
-70,2148829787,주식회사 노바에스앤씨,,분석,500247702,87.096,88.511,0.5004 (100.5004),15 12,2021/04/28 10:26:11,심사제외
-71,2158138830,주식회사와이드이엔씨,,분석,500238580,87.094,88.51,0.4986 (100.4986),3 10,2021/04/29 10:58:48,심사제외
-72,1018154491,엘케이테크넷(주),,분석,500225076,87.091,88.507,0.4959 (100.4959),15 2,2021/04/28 14:38:12,심사제외
-73,1108157338,(주)메트로컴넷,,분석,500199816,87.087,88.503,0.4908 (100.4908),13 10,2021/04/29 09:10:54,심사제외
-74,2208886221,주식회사 지엔아이티,,분석,500187247,87.084,88.501,0.4883 (100.4883),5 4,2021/04/28 14:29:33,심사제외
-75,2208602950,(주)세연텔레콤,,분석,500172600,87.082,88.498,0.4853 (100.4853),9 15,2021/04/29 10:06:49,심사제외
-76,1128148285,(주)백제이앤씨,,분석,500164350,87.08,88.497,0.4837 (100.4837),14 2,2021/04/29 07:49:05,심사제외
-77,2148122183,(주)하나전기,,분석,500161042,87.079,88.496,0.4830 (100.483),6 8,2021/04/30 08:41:58,심사제외
-78,2148840477,주식회사 알비에스테크,,분석,500154552,87.078,88.495,0.4817 (100.4817),7 5,2021/04/30 09:11:18,심사제외
-79,2148647495,(주)테크스피어,,분석,500126020,87.073,88.49,0.4759 (100.4759),11 9,2021/04/30 09:37:43,심사제외
-80,1138189770,인콤아이에스(주),,분석,500114070,87.071,88.488,0.4735 (100.4735),9 10,2021/04/29 10:48:19,심사제외
-81,1138148411,(주)풍천정보네트웍,,분석,500105620,87.069,88.486,0.4719 (100.4719),12 6,2021/04/29 08:57:48,심사제외
-82,1058123684,주식회사 우전정보통신,,분석,500094120,87.067,88.484,0.4695 (100.4695),13 7,2021/04/30 10:05:11,심사제외
-83,1068604157,주식회사 넥시스정보,,분석,500055830,87.06,88.477,0.4618 (100.4618),5 3,2021/04/29 08:57:58,심사제외
-84,1101185132,메이폴정보통신,,분석,500055029,87.06,88.477,0.4617 (100.4617),11 2,2021/04/29 08:56:21,심사제외
-85,2148669048,보라정보통신 주식회사,,분석,500017015,87.052,88.471,0.4541 (100.4541),8 12,2021/04/29 14:21:24,심사제외
-86,2118138895,주식회사 나라컨트롤,,분석,500000000,87.049,88.468,0.4506 (100.4506),12 7,2021/04/29 15:51:37,심사제외
-87,1148611926,(주)동진이앤티,,분석,499990135,87.047,88.466,0.4487 (100.4487),7 10,2021/04/29 11:14:37,심사제외
-88,1028137710,서광종합개발 주식회사,,분석,499957284,87.041,88.46,0.4421 (100.4421),7 4,2021/04/30 08:44:01,심사제외
-89,1148600716,유티모스트아이엔에스(주),,분석,499955505,87.041,88.46,0.4417 (100.4417),9 15,2021/04/29 16:43:54,심사제외
