공고번호,010_001,010_002,010_003,010_004,010_005,010_006,010_007,010_008,010_009,010_010,020_001,020_002,020_003,020_004,020_005,020_006,020_007,020_008,020_009,020_010,020_011,020_012,020_013,020_014,020_015,020_016,020_017,020_018,020_019,020_020,050_001,050_002,050_003,050_004,050_005,050_006,050_007,050_008,050_009,050_010,050_011,050_012,050_013,050_014,050_015,050_016,050_017,050_018,050_019,050_020,050_021,050_022,050_023,050_024,050_025,050_026,050_027,050_028,050_029,050_030,050_031,050_032,050_033,050_034,050_035,050_036,050_037,050_038,050_039,050_040,050_041,050_042,050_043,050_044,050_045,050_046,050_047,050_048,050_049,050_050,100_001,100_002,100_003,100_004,100_005,100_006,100_007,100_008,100_009,100_010,100_011,100_012,100_013,100_014,100_015,100_016,100_017,100_018,100_019,100_020,100_021,100_022,100_023,100_024,100_025,100_026,100_027,100_028,100_029,100_030,100_031,100_032,100_033,100_034,100_035,100_036,100_037,100_038,100_039,100_040,100_041,100_042,100_043,100_044,100_045,100_046,100_047,100_048,100_049,100_050,100_051,100_052,100_053,100_054,100_055,100_056,100_057,100_058,100_059,100_060,100_061,100_062,100_063,100_064,100_065,100_066,100_067,100_068,100_069,100_070,100_071,100_072,100_073,100_074,100_075,100_076,100_077,100_078,100_079,100_080,100_081,100_082,100_083,100_084,100_085,100_086,100_087,100_088,100_089,100_090,100_091,100_092,100_093,100_094,100_095,100_096,100_097,100_098,100_099,100_100
20241119555-00,0,4,72,155,283,330,181,30,2,0,0,0,1,3,23,49,74,81,131,152,150,180,124,57,20,10,2,0,0,0,0,0,0,0,0,0,1,1,1,1,6,12,9,25,20,26,24,46,29,30,39,60,60,61,63,52,67,67,62,82,66,44,34,17,20,10,4,9,4,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,2,4,5,7,5,4,10,15,10,10,15,11,16,8,24,22,17,12,18,12,17,22,35,25,32,28,28,33,25,38,24,28,40,27,31,36,35,27,37,45,36,30,26,18,14,20,8,9,9,11,5,5,3,1,6,3,2,2,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20241114507-00,0,5,58,219,311,327,144,39,5,0,0,0,0,5,15,43,97,122,159,152,181,146,88,56,24,15,3,2,0,0,0,0,0,0,0,0,0,1,1,3,5,5,6,15,27,26,44,49,56,44,60,67,64,59,61,69,79,61,54,64,39,25,36,24,20,9,14,9,4,3,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,1,4,3,2,5,1,6,9,13,14,20,6,26,18,27,22,29,27,24,20,29,31,34,33,32,32,36,23,24,37,32,37,41,38,33,28,33,21,34,30,19,20,17,8,24,12,12,12,11,9,6,3,7,7,1,8,3,1,3,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20241112762-00,0,1,7,36,69,90,56,11,1,0,0,0,0,1,3,4,15,21,38,31,56,34,34,22,10,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,1,3,2,7,8,6,13,15,16,12,14,12,23,15,23,13,16,14,12,12,8,10,6,1,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,1,0,2,1,0,2,1,6,6,2,4,2,3,10,11,4,6,10,7,5,7,7,3,9,9,14,9,6,18,5,8,5,4,12,5,9,4,8,8,4,4,4,5,5,3,3,0,1,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20241112707-00,0,0,4,27,76,98,48,13,1,0,0,0,0,0,2,2,9,18,29,47,55,43,29,19,11,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,5,2,8,10,9,12,15,24,16,22,21,19,17,19,14,11,5,7,11,6,1,4,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,1,1,1,4,2,0,4,4,1,9,5,4,3,9,8,7,14,10,8,8,7,15,6,15,12,7,10,7,5,14,8,6,6,5,4,1,4,3,4,7,2,4,0,1,4,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20241117148-00,0,6,60,224,367,334,149,31,2,1,0,0,0,6,13,47,92,132,160,207,173,161,93,56,19,12,2,0,0,1,0,0,0,0,0,0,0,1,1,4,1,6,14,13,26,36,33,41,62,52,61,60,73,89,84,66,69,65,69,65,48,27,28,26,20,8,10,4,3,6,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,2,0,1,1,5,6,8,5,8,14,12,21,15,16,17,23,18,30,32,27,25,30,31,27,33,39,34,38,51,44,40,33,33,39,30,38,27,32,37,40,25,35,13,11,16,18,10,14,12,12,8,5,3,7,3,1,3,2,1,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
20241117147-00,0,7,60,192,366,337,151,40,2,0,0,0,0,7,14,46,72,120,171,195,178,159,91,60,28,12,2,0,0,0,0,0,0,0,0,0,0,1,1,5,3,5,12,17,23,31,22,41,50,48,47,75,72,83,89,54,82,68,67,66,44,28,30,26,23,12,15,5,2,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,3,0,3,2,3,6,6,8,9,12,11,19,12,10,12,19,22,25,25,24,24,23,24,40,35,49,23,32,51,38,51,23,31,42,40,42,26,33,34,32,34,31,13,14,14,19,11,12,14,15,8,8,4,11,4,1,4,1,1,5,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20241109444-00,0,3,60,227,295,349,156,26,5,0,0,0,0,3,17,43,100,127,134,161,193,156,106,50,21,5,3,2,0,0,0,0,0,0,0,0,0,1,0,2,3,6,17,14,20,27,49,49,58,44,49,51,62,69,64,79,83,68,66,53,38,49,25,22,22,12,6,5,1,2,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,2,4,2,8,9,4,10,9,11,15,12,24,25,24,25,30,28,21,23,23,26,21,30,34,28,36,33,30,34,39,40,44,39,31,37,34,32,31,22,14,24,29,20,19,6,9,13,12,10,7,5,3,3,3,2,1,0,1,1,1,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
20241107876-00,2,6,65,244,324,296,114,32,1,2,0,2,1,5,25,40,106,138,158,166,164,132,68,46,24,8,1,0,1,1,0,0,1,0,1,0,1,1,2,2,7,12,14,16,16,40,42,53,59,50,50,71,67,66,70,69,66,64,59,38,32,26,21,17,18,13,8,6,2,3,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,1,1,1,4,3,6,6,6,8,4,12,8,8,25,15,21,21,24,29,28,31,22,28,27,23,32,39,37,30,26,40,30,40,37,32,40,26,29,35,36,23,19,19,14,18,21,5,10,11,7,10,11,7,7,6,4,4,3,3,2,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
20241108701-00,0,5,60,240,325,290,128,36,5,1,0,0,1,4,22,38,99,141,156,169,163,127,86,42,28,8,4,1,1,0,0,0,0,0,0,0,1,1,0,3,4,9,15,13,19,29,37,60,69,45,49,65,73,78,60,68,67,56,49,50,41,29,30,16,12,18,6,7,3,2,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,2,1,3,5,4,9,6,5,8,9,10,15,14,12,25,33,27,36,33,21,24,16,33,34,31,42,31,36,42,30,30,38,30,39,28,28,28,27,22,27,23,15,26,14,15,16,14,8,8,10,2,8,10,3,3,4,3,2,1,1,1,1,1,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
20241104564-00,0,3,55,234,304,299,142,26,7,1,0,0,1,2,21,34,109,125,154,150,152,147,105,37,17,9,4,3,1,0,0,0,0,0,0,0,1,1,0,1,4,7,14,16,14,37,40,57,57,43,40,54,95,62,53,49,71,63,66,50,48,35,29,15,15,9,2,10,3,2,3,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,3,1,4,3,10,4,7,9,10,4,19,18,19,21,32,25,31,26,16,27,20,20,27,27,60,35,31,31,24,29,26,23,38,33,32,31,43,23,30,20,29,19,21,14,22,7,7,8,7,8,2,7,1,1,6,4,2,1,1,1,1,2,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0
20241101992-00,0,6,53,185,308,261,154,35,6,1,0,0,1,5,17,36,61,124,140,168,139,122,97,57,22,13,4,2,0,1,0,0,0,0,0,1,0,1,3,1,5,6,14,10,18,21,27,38,57,42,42,68,63,71,64,40,67,66,47,41,37,38,30,31,18,13,7,5,5,5,3,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,1,0,3,2,4,2,6,8,4,6,8,10,12,9,14,13,13,25,25,32,18,24,20,22,31,37,30,33,37,34,35,29,15,25,33,34,32,34,27,20,17,24,22,15,17,21,22,8,16,15,9,9,4,9,4,3,2,3,3,2,5,0,0,3,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
20241101609-00,0,5,64,209,343,265,126,32,7,1,0,0,0,5,17,47,76,133,160,183,132,133,81,45,20,12,3,4,1,0,0,0,0,0,0,0,0,0,2,3,6,7,9,20,22,24,34,42,56,53,46,78,72,83,64,50,60,48,52,55,31,36,21,20,18,11,8,6,5,2,1,1,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,4,2,3,4,4,5,8,12,14,8,16,8,17,17,18,24,31,25,29,24,22,24,41,37,36,36,35,48,34,30,27,23,30,30,22,26,24,28,25,30,16,15,24,12,14,7,8,12,9,9,7,4,4,4,1,5,2,3,2,0,1,0,0,1,1,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0
20241105994-00,0,5,45,169,292,239,135,28,5,2,0,0,0,5,18,27,60,109,145,147,147,92,95,40,19,9,4,1,0,2,0,0,0,0,0,0,0,1,2,2,4,8,9,12,12,22,20,38,57,32,60,54,59,59,60,63,60,46,40,30,37,42,23,15,18,10,6,5,4,3,3,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,1,5,3,6,3,5,7,3,9,12,10,8,12,18,20,21,36,18,14,32,28,29,25,31,28,22,37,30,30,33,30,33,27,24,22,23,17,13,17,19,18,28,14,16,7,7,8,13,5,4,6,5,1,3,2,2,2,2,1,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
20241104225-00,0,5,69,224,317,319,122,36,5,2,0,0,0,5,17,52,98,126,165,152,169,150,75,47,26,10,5,0,2,0,0,0,0,0,0,0,0,1,2,2,4,9,12,22,22,29,38,61,53,43,42,72,80,65,58,68,76,62,64,49,39,24,17,25,17,14,8,7,3,4,2,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1,2,2,5,4,4,8,11,11,14,8,19,10,16,22,31,30,28,25,22,21,15,27,35,37,51,29,33,32,26,32,35,33,38,38,25,37,38,26,29,20,18,21,8,16,12,5,13,12,9,8,6,8,7,1,4,3,2,1,3,1,0,2,0,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
20241100743-00,0,5,53,167,335,272,176,23,7,1,0,0,1,4,15,38,65,102,143,192,160,112,118,58,16,7,6,1,1,0,0,0,0,0,0,0,0,2,1,2,1,7,11,13,21,27,26,28,40,46,45,67,69,82,72,61,65,61,44,41,47,45,42,29,13,11,3,6,2,1,3,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,2,5,7,4,9,4,10,11,13,14,13,13,12,16,26,14,22,24,21,24,32,35,31,38,46,36,34,38,32,29,34,31,34,27,26,18,20,21,23,24,22,23,26,16,17,12,8,5,7,4,3,0,2,4,2,0,1,0,1,2,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
20241033630-00,0,4,67,221,332,370,192,31,1,0,0,0,1,3,15,52,94,127,171,161,190,180,135,57,23,8,1,0,0,0,0,0,0,0,0,0,0,1,2,1,4,6,13,22,22,36,39,37,51,58,64,56,79,77,56,81,70,86,84,49,55,42,56,21,18,12,7,5,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,2,2,4,2,5,8,12,10,8,14,19,17,24,15,19,18,20,31,29,29,33,31,25,31,51,28,36,41,24,32,45,36,25,45,39,47,43,41,21,28,32,23,19,23,38,18,11,10,10,8,6,6,4,3,4,1,3,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20241031649-00,0,5,51,163,325,284,138,24,4,1,0,0,0,5,14,37,58,105,179,146,153,131,90,48,17,7,3,1,0,1,0,0,0,0,0,0,0,1,0,4,5,4,10,14,18,18,27,33,37,48,71,69,71,65,49,69,55,74,49,37,49,23,33,20,13,6,9,3,4,2,2,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,3,2,1,3,5,5,4,10,7,11,11,7,13,14,13,20,18,19,20,28,30,41,29,40,39,32,29,36,27,22,36,33,30,25,29,45,27,22,21,16,18,31,12,11,18,15,9,11,9,4,3,3,5,4,2,1,1,3,1,1,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
20241027993-00,0,4,42,135,285,240,111,25,3,1,0,0,0,4,11,31,46,89,133,152,138,102,64,47,23,2,3,0,0,1,0,0,0,0,0,0,0,2,0,2,5,2,9,15,11,17,20,25,26,47,49,62,43,70,61,69,47,41,42,41,29,28,23,18,13,12,10,2,0,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,2,3,0,2,4,5,7,8,5,6,9,8,13,7,9,16,14,12,16,31,21,28,34,28,22,21,24,46,35,26,37,32,25,22,22,19,22,20,20,21,14,15,16,12,7,16,10,8,7,6,6,6,5,5,1,1,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20241024279-00,0,4,63,253,374,315,149,29,2,0,0,0,1,3,15,48,93,160,197,177,174,141,90,59,27,2,2,0,0,0,0,0,0,0,0,0,1,1,0,2,6,6,10,22,19,42,32,45,51,83,72,80,78,78,66,64,83,69,54,45,40,27,33,27,22,14,10,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,3,3,2,4,3,7,9,13,12,7,23,19,18,14,19,26,26,25,33,50,35,37,51,29,45,33,34,44,36,30,31,33,45,38,27,42,29,25,25,20,23,17,17,10,23,10,12,15,10,12,8,6,8,2,3,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20241025235-00,0,7,45,124,256,226,89,28,2,1,0,0,2,5,11,34,56,68,116,140,114,112,65,24,20,8,1,1,0,1,0,0,0,0,0,1,1,2,1,2,4,3,9,12,17,23,21,25,25,30,36,47,60,59,54,45,41,49,55,36,30,27,14,11,7,6,11,5,3,3,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,1,2,0,2,2,1,2,4,5,6,6,9,8,13,10,12,9,12,13,13,12,12,18,14,22,24,23,33,27,29,30,28,26,25,20,22,19,28,21,26,29,22,14,14,16,11,16,8,6,6,5,6,1,3,3,5,6,3,2,1,2,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20241020109-00,0,0,6,28,88,67,45,9,1,1,0,0,0,0,3,3,6,22,30,58,35,32,29,16,8,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,1,2,10,6,9,13,11,14,32,18,17,12,14,12,12,14,9,10,7,5,4,4,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,0,0,1,1,1,3,7,4,2,5,4,6,7,8,3,6,8,11,21,8,10,5,12,7,5,6,8,4,8,6,6,4,10,1,8,6,4,4,3,1,4,2,2,3,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
20241021002-00,0,11,37,214,369,311,117,29,4,3,0,0,0,11,11,26,77,137,205,164,173,138,73,44,22,7,2,2,3,0,0,0,0,0,0,0,0,0,2,9,5,3,9,9,11,20,34,41,41,78,85,78,75,59,72,62,75,74,59,41,31,29,28,15,14,9,9,6,4,1,2,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,7,2,3,1,2,3,6,5,4,6,5,8,12,14,20,23,18,19,22,36,42,43,42,40,38,42,33,25,34,40,32,22,40,37,38,36,38,32,27,22,19,18,13,14,15,13,15,6,9,6,8,4,5,3,6,4,2,2,2,0,1,2,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0
20241025118-00,1,5,78,231,382,352,155,30,2,0,1,0,0,5,20,58,90,141,207,175,194,158,93,62,23,7,2,0,0,0,0,1,0,0,0,0,0,2,0,3,7,9,12,19,31,33,31,44,59,64,91,77,75,70,69,77,81,76,50,68,42,29,39,21,24,13,7,5,3,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,7,2,7,4,8,9,10,13,18,17,16,13,18,26,18,32,27,27,37,50,41,46,31,39,36,31,39,35,34,43,34,52,29,36,40,25,25,29,39,25,17,18,11,22,17,14,7,10,14,10,3,1,6,3,2,2,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20241024327-00,0,5,47,198,343,263,137,15,4,0,0,0,0,5,13,34,81,117,218,125,132,131,88,49,11,4,4,0,0,0,0,0,0,0,0,0,0,2,1,2,3,4,11,13,16,35,29,34,48,52,91,88,69,53,42,49,61,43,65,45,29,38,34,21,15,7,2,3,3,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,2,1,1,3,6,5,6,7,7,9,16,19,12,17,17,17,21,27,20,32,41,50,48,40,39,30,26,27,21,21,26,23,27,34,22,21,32,33,21,24,13,16,13,25,21,13,10,11,10,5,6,1,1,1,2,1,0,3,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20241015675-00,0,3,56,218,360,284,104,27,4,2,0,0,0,3,20,36,89,129,197,163,157,127,68,36,20,7,3,1,1,1,0,0,0,0,0,0,0,2,0,1,3,8,16,14,15,24,48,34,52,60,57,95,70,68,70,72,58,55,45,54,30,27,17,13,17,10,5,8,3,1,1,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,2,3,5,9,7,5,9,9,6,7,17,26,22,17,17,29,23,32,28,29,28,53,42,45,25,32,36,34,36,45,27,33,25,27,28,22,23,26,28,18,12,14,13,11,6,7,6,12,5,7,3,3,2,5,3,2,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
20241005515-00,0,7,58,206,311,352,175,52,9,4,0,0,0,7,16,42,67,139,163,148,180,172,103,72,42,10,6,3,1,3,0,0,0,0,0,0,0,0,4,3,6,6,12,17,17,21,28,32,57,68,53,66,73,67,52,65,75,73,62,77,59,30,38,22,26,19,17,10,4,2,3,2,4,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,2,2,4,2,4,4,8,7,10,7,10,8,13,12,16,18,14,22,35,38,30,18,35,35,31,44,29,36,31,21,31,37,28,44,31,40,33,25,37,43,34,26,33,12,18,14,24,11,11,12,14,12,7,9,8,6,4,0,4,1,1,1,2,1,1,1,3,0,0,0,0,1,0,0,0,0,1,1,0,0,1
20241013949-00,0,5,58,205,367,263,137,24,8,1,0,0,1,4,14,44,69,136,211,156,158,105,87,50,18,6,3,5,1,0,0,0,0,0,0,0,1,1,0,3,0,8,10,19,21,28,27,42,47,61,76,89,74,59,69,70,55,57,37,44,38,33,29,18,19,10,4,7,1,2,1,2,1,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,0,0,0,3,5,6,4,7,12,10,11,16,12,15,12,14,28,25,22,24,37,38,38,54,35,46,28,27,32,34,35,38,32,30,25,33,24,22,15,23,21,22,16,17,16,16,13,10,8,10,9,4,6,4,0,4,3,0,1,1,1,0,1,1,1,0,1,2,1,0,1,0,0,1,0,0,0,0,0,0,0
20241017702-00,0,3,36,155,257,280,122,37,8,3,0,0,0,3,8,28,56,99,156,101,171,109,79,43,27,10,5,3,0,3,0,0,0,0,0,0,0,1,0,2,1,5,5,6,19,21,22,26,33,53,65,73,33,42,44,63,67,73,41,36,39,26,23,25,9,15,9,5,4,4,3,2,1,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,3,2,2,3,1,5,8,11,7,14,10,12,13,13,14,19,24,29,31,34,46,27,18,15,18,24,24,20,31,32,37,30,41,32,17,24,18,18,22,17,17,9,14,9,12,13,8,1,9,6,4,5,3,2,1,3,1,3,2,1,0,2,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,2
20241014787-00,0,4,68,232,302,292,136,32,4,1,0,0,1,3,15,53,97,135,167,135,174,118,96,40,21,11,3,1,1,0,0,0,0,0,0,0,1,1,0,2,1,7,12,24,24,32,43,41,61,55,70,61,62,43,66,68,66,76,44,38,42,33,29,13,19,13,3,11,4,1,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,1,3,4,7,5,9,15,12,12,17,15,20,23,22,19,33,28,25,30,33,37,31,30,36,26,23,20,36,30,35,33,36,30,40,36,22,22,20,18,22,20,16,17,21,8,7,6,11,8,6,7,3,0,5,6,0,4,1,0,0,2,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
20241010548-00,0,3,42,181,308,289,117,32,4,2,0,0,0,3,14,28,57,124,176,132,143,146,78,39,20,12,2,2,1,1,0,0,0,0,0,0,0,1,0,2,3,7,9,5,18,22,18,30,35,76,79,71,54,58,46,52,58,61,70,48,35,28,21,19,14,12,4,9,5,2,1,1,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,2,4,3,4,5,3,2,7,11,9,13,13,5,17,13,14,21,39,37,35,44,37,34,26,28,34,24,20,26,22,30,29,29,33,28,34,36,28,20,21,14,16,12,15,6,13,6,8,6,7,5,2,2,4,5,2,3,1,1,0,1,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1
20241008388-00,0,3,52,171,349,290,123,31,2,1,0,0,0,3,18,34,78,93,208,141,148,142,80,43,22,9,0,2,0,1,0,0,0,0,0,0,0,0,1,2,5,7,9,11,20,24,30,41,29,47,90,79,62,56,62,66,52,63,66,43,32,33,24,16,18,9,9,7,2,4,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,4,4,3,6,3,5,6,6,14,11,13,16,14,24,17,20,9,23,24,41,49,32,47,39,23,28,28,33,29,35,31,26,26,30,33,27,39,23,20,22,10,16,17,15,9,8,8,12,6,3,6,7,2,4,3,2,0,3,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20241006617-00,0,5,51,174,318,306,180,27,8,1,0,0,0,5,17,34,86,88,153,165,158,148,122,58,18,9,6,2,1,0,0,0,0,0,0,0,0,0,2,3,5,8,6,14,18,34,33,35,32,40,52,60,67,74,65,54,74,55,57,66,53,50,38,22,17,5,8,9,2,3,4,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,5,4,4,4,2,10,4,9,9,15,19,14,19,19,16,11,21,17,23,23,29,30,30,41,26,40,34,33,32,29,25,40,34,30,25,27,30,32,34,28,25,23,27,19,19,12,10,10,7,2,3,5,3,5,4,1,1,3,0,1,3,0,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
20241006615-00,0,7,50,173,412,336,130,35,2,0,0,0,1,6,13,37,69,104,217,195,181,155,82,48,25,10,2,0,0,0,0,0,0,0,0,0,1,1,1,4,2,5,8,19,16,26,23,31,35,58,74,99,87,80,72,57,86,74,68,51,33,33,28,21,15,12,10,5,5,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,2,2,0,2,2,3,6,2,9,10,10,6,14,12,15,8,20,11,14,21,22,36,34,40,50,49,44,43,39,41,31,41,31,26,50,36,38,36,26,42,31,20,17,16,16,17,16,12,12,9,5,10,8,4,6,4,3,2,4,1,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20241003548-03,0,3,45,179,344,274,104,26,4,1,0,0,0,3,13,32,75,104,204,140,133,141,69,35,21,5,3,1,0,1,0,0,0,0,0,0,0,0,1,2,3,4,9,11,18,22,34,36,39,48,86,73,77,57,51,56,51,56,73,38,31,24,24,11,14,7,11,6,1,1,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,3,2,2,6,3,5,6,9,9,9,13,19,15,19,17,22,17,20,28,44,42,42,31,45,32,30,27,31,20,30,26,26,25,26,30,37,36,20,18,17,14,13,11,14,10,5,6,6,8,3,4,7,4,3,3,1,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
20241004720-00,0,3,36,135,243,184,83,19,5,1,0,0,0,3,12,24,42,93,124,119,96,88,58,25,15,4,2,3,0,1,0,0,0,0,0,0,0,0,1,2,2,5,7,9,13,13,15,23,34,50,58,46,40,45,54,28,44,37,43,32,24,28,11,13,7,7,6,4,2,0,1,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,2,4,1,5,2,2,7,7,6,8,5,6,9,14,9,20,14,17,33,28,30,26,20,20,20,20,25,26,28,12,16,26,18,24,13,20,23,18,14,13,11,13,15,6,5,6,7,4,3,5,2,3,3,2,2,2,0,0,0,1,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1
20241002387-00,0,3,32,112,240,241,109,28,2,0,0,0,0,3,13,19,42,70,99,141,104,137,71,38,22,6,0,2,0,0,0,0,0,0,0,0,0,0,1,2,4,5,6,6,11,16,20,15,23,38,39,39,45,54,63,38,42,48,61,52,41,25,11,19,13,13,8,5,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,3,1,2,3,4,2,2,4,4,7,6,10,13,7,6,9,8,15,15,23,19,20,20,19,21,24,29,25,32,31,24,14,21,21,24,24,27,34,27,25,21,20,11,14,5,6,6,13,6,7,8,5,5,3,1,4,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
