,순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,예가대비 투찰률(%),기초대비 투찰률(%),기초대비 사정률(%),추첨번호,투찰일시,비고
15,66,2158687767,(주)에스앤디비즈,정성호,분석,50841000,87.862,87.446,-0.33994 (99.66006),,2024/11/22 05:30:41,
16,67,1068128718,서광통신 주식회사,최경석,분석,50842141,87.864,87.448,-0.33770 (99.6623),,2024/11/27 15:27:32,
17,68,5068118803,뉴아이텍(주),오경식,분석,50842407,87.864,87.449,-0.33718 (99.66282),,2024/11/26 14:24:50,
18,69,1138137229,두복산전(주),이영두,분석,50844790,87.869,87.453,-0.33251 (99.66749),,2024/11/27 09:52:28,
19,70,1148633857,에스엠이엔지(주),이관휴,분석,50846834,87.872,87.456,-0.32851 (99.67149),,2024/11/26 09:54:12,
20,71,1068180219,(주)네트웍리더,권철영,분석,50847497,87.873,87.457,-0.32721 (99.67279),,2024/11/26 22:46:28,
21,72,1058110006,삼성전기산업 주식회사,박소연,분석,50848000,87.874,87.458,-0.32622 (99.67378),,2024/11/27 17:00:32,
22,73,4538100144,주식회사 파란아이티,성기빈,분석,50848620,87.875,87.459,-0.32500 (99.675),,2024/11/27 15:01:55,
23,74,2038164825,(주)스피드정보통신,선의석,분석,50849000,87.876,87.46,-0.32426 (99.67574),,2024/11/27 11:33:04,
24,75,1128139637,(주)씨엘에이에스,윤호중,분석,50851936,87.881,87.465,-0.31850 (99.6815),,2024/11/26 08:38:31,
25,76,5048133604,주식회사다온네트웍스,김진환,분석,50852850,87.883,87.467,-0.31671 (99.68329),,2024/11/26 09:37:37,
26,77,3568102176,주식회사 코맥스강북점,이재명,분석,50852900,87.883,87.467,-0.31661 (99.68339),,2024/11/26 09:08:26,
27,78,4188155516,아이피119정보통신 주식회사,김영수,분석,50853517,87.884,87.468,-0.31541 (99.68459),,2024/11/25 17:10:22,
28,79,4178802112,주식회사 팬택씨앤아이엔지니어링,신광식,분석,50854080,87.885,87.469,-0.31430 (99.6857),,2024/11/27 13:30:13,
29,80,1108131570,(주)조은시스템,김창윤,분석,50854180,87.885,87.469,-0.31411 (99.68589),,2024/11/25 13:19:40,
30,81,2148891087,세경네트웍스 주식회사,장중석,분석,50857037,87.89,87.474,-0.30851 (99.69149),,2024/11/26 10:03:13,
31,82,1078143707,(주)신창전기,홍성수,분석,50859129,87.893,87.477,-0.30440 (99.6956),,2024/11/28 09:32:35,
32,83,6458702345,거산테크 주식회사,김태남,분석,50860609,87.896,87.48,-0.30150 (99.6985),,2024/11/27 15:11:30,
33,84,1208742187,주식회사 미소아이티,김재욱,분석,50861680,87.898,87.482,-0.29940 (99.7006),,2024/11/27 13:48:33,
34,85,2108122973,인터컴넷(주),양지호,분석,50862318,87.899,87.483,-0.29815 (99.70185),,2024/11/26 10:09:14,
35,86,1198623733,주식회사 케이비티정보통신,유후군,분석,50862550,87.899,87.483,-0.29770 (99.7023),,2024/11/25 21:28:49,
36,87,1078734710,(주)일조이에스,박상권,분석,50863680,87.901,87.485,-0.29548 (99.70452),,2024/11/26 16:35:48,
37,88,1058777047,(주)텔레큐브,정영신,분석,50863900,87.902,87.486,-0.29505 (99.70495),,2024/11/22 16:22:15,
38,89,4048800118,주식회사 앙츠,박창진,분석,50864180,87.902,87.486,-0.29450 (99.7055),,2024/11/27 18:05:55,
39,90,2208735083,주식회사 강남전기공사,나중안,분석,50864995,87.904,87.487,-0.29291 (99.70709),,2024/11/25 16:38:56,
40,91,1058123684,주식회사 우전정보통신,이정,분석,50865241,87.904,87.488,-0.29242 (99.70758),,2024/11/27 12:44:07,
41,92,4018600546,주식회사 케이투시스템즈,강병준,분석,50867700,87.908,87.492,-0.28760 (99.7124),,2024/11/27 17:27:11,
42,93,1458603376,주식회사 엔터테크,홍재섭,분석,50868159,87.909,87.493,-0.28670 (99.7133),,2024/11/27 14:27:36,
43,94,4108607408,주식회사 천운정보통신,김복중,분석,50868500,87.91,87.494,-0.28603 (99.71397),,2024/11/27 08:51:46,
44,95,1108130339,(주)기양상사,조효진,분석,50868600,87.91,87.494,-0.28584 (99.71416),,2024/11/25 15:46:09,
45,96,2648127825,주식회사 제이원아이티,이준호,분석,50870810,87.914,87.497,-0.28151 (99.71849),,2024/11/26 14:23:33,
46,97,1138185570,(주)승일전력산업,박광수,분석,50870860,87.914,87.498,-0.28141 (99.71859),,2024/11/25 22:04:09,
47,98,1168137418,두레옵트로닉스 주식회사,최수현,분석,50872850,87.917,87.501,-0.27751 (99.72249),,2024/11/26 15:19:24,
48,99,1041890207,삼정정보통신,이순봉,분석,50874270,87.92,87.503,-0.27472 (99.72528),,2024/11/26 10:31:07,
49,100,1088604075,청목이앤아이 주식회사,김희경,분석,50874297,87.92,87.503,-0.27467 (99.72533),,2024/11/27 16:18:56,
0,101,1148644465,(주)서브플래닛,이지연,분석,50875198,87.921,87.505,-0.27291 (99.72709),,2024/11/27 09:58:07,
1,102,1058740405,(주)화성이엔지,김택환,분석,50875877,87.922,87.506,-0.27157 (99.72843),,2024/11/26 17:50:31,
2,103,2628802128,주식회사 성우일렉콤,최종국,분석,50876120,87.923,87.507,-0.27110 (99.7289),,2024/11/22 08:37:19,
3,104,2208132347,(주)태양기술개발,안규철,분석,50876864,87.924,87.508,-0.26964 (99.73036),,2024/11/26 07:20:34,
4,105,1068619761,(주) 한걸음정보통신,정진원,분석,50876933,87.924,87.508,-0.26950 (99.7305),,2024/11/27 09:19:40,
5,106,2148607396,주식회사 폴라리스에이아이,지준경,분석,50878000,87.926,87.51,-0.26741 (99.73259),,2024/11/28 09:28:02,
6,107,2158620617,미디어텔레콤(주),김용대,분석,50878470,87.927,87.511,-0.26649 (99.73351),,2024/11/25 21:46:51,
7,108,6388602210,주식회사 비트릭스,유세호,분석,50879075,87.928,87.512,-0.26531 (99.73469),,2024/11/25 14:47:17,
8,109,2208108546,경림전기(주),김인형,분석,50880400,87.93,87.514,-0.26271 (99.73729),,2024/11/25 14:51:15,
9,110,1058795818,주식회사 티엠미디어,박용호,분석,50880861,87.931,87.515,-0.26180 (99.7382),,2024/11/26 09:31:09,
10,111,2148705513,주식회사 케이이에스 전기공사,강성진,분석,50881371,87.932,87.516,-0.26080 (99.7392),,2024/11/27 09:56:39,
11,112,2048635411,주식회사 화산에스티아이,이명재,분석,50881474,87.932,87.516,-0.26060 (99.7394),,2024/11/26 17:38:27,
12,113,2048620126,(주)상부사종합건설,이상만,분석,50881524,87.932,87.516,-0.26050 (99.7395),,2024/11/27 23:04:02,
13,114,1198173261,주식회사 현대네트웍기술,조성익,분석,50881630,87.932,87.516,-0.26030 (99.7397),,2024/11/26 15:02:49,
14,115,2098134713,키엔컴 주식회사,김성수,분석,50882137,87.933,87.517,-0.25930 (99.7407),,2024/11/27 10:45:02,
15,116,1188117437,탑인더스트리(주),최정현,분석,50882544,87.934,87.518,-0.25851 (99.74149),,2024/11/26 09:01:11,
16,117,8418601383,주식회사 미리내통신,김정훈,분석,50882719,87.934,87.518,-0.25816 (99.74184),,2024/11/25 10:23:24,
17,118,1058167417,(주)금정엔지니어링,구본신,분석,50884230,87.937,87.521,-0.25520 (99.7448),,2024/11/27 17:53:59,
18,119,1298155066,일조텔레콤(주),김문섭,분석,50885610,87.939,87.523,-0.25250 (99.7475),,2024/11/27 13:00:35,
19,120,6338200301,사단법인 행복일자리운동본부,정덕환,분석,50887978,87.943,87.527,-0.24785 (99.75215),,2024/11/25 10:33:32,
20,121,2198114499,(주)이레에너지테크,강래원,분석,50888200,87.944,87.527,-0.24742 (99.75258),,2024/11/26 17:43:05,
21,122,2148661411,(주)엘리시스,이시정,분석,50888360,87.944,87.528,-0.24710 (99.7529),,2024/11/26 09:58:02,
22,123,1118128082,(주)디투엔지니어링,김낙경,분석,50888980,87.945,87.529,-0.24589 (99.75411),,2024/11/28 09:35:32,
23,124,1188109975,(주)부광네트워크,박경진,분석,50889000,87.945,87.529,-0.24585 (99.75415),,2024/11/26 11:30:15,
24,125,1018138303,주식회사 비엘에스,안홍서,분석,50889075,87.945,87.529,-0.24570 (99.7543),,2024/11/28 09:03:38,
25,126,2068606585,(주)상지일렉스,정원상,분석,50889312,87.946,87.529,-0.24524 (99.75476),,2024/11/26 20:29:47,
26,127,1058660665,(주)일신전업,김한경,분석,50889390,87.946,87.529,-0.24509 (99.75491),,2024/11/27 19:46:24,
27,128,1268159398,주식회사 파이런텍,이병길,분석,50890610,87.948,87.532,-0.24269 (99.75731),,2024/11/27 15:05:20,
28,129,1180565240,성보전자통신,양행천,분석,50890660,87.948,87.532,-0.24260 (99.7574),,2024/11/28 11:53:28,
29,130,5628602359,주식회사 건영정보기술,김재곤,분석,50890700,87.948,87.532,-0.24252 (99.75748),,2024/11/26 09:28:17,
30,131,1068616518,(주)애니씨앤에스,이일규,분석,50891420,87.949,87.533,-0.24111 (99.75889),,2024/11/26 09:37:14,
31,132,7148800617,주식회사 성진정보통신,문계철,분석,50892033,87.95,87.534,-0.23990 (99.7601),,2024/11/26 11:34:00,
32,133,2158749469,(주)더블유에프텍,이영길,분석,50893100,87.952,87.536,-0.23781 (99.76219),,2024/11/27 15:41:46,
33,134,2158171649,(주)삼삼통신기술,이성오,분석,50893300,87.952,87.536,-0.23742 (99.76258),,2024/11/22 13:58:57,
34,135,2028159713,거산음향통신(주),김기만,분석,50893300,87.952,87.536,-0.23742 (99.76258),,2024/11/26 15:17:20,
35,136,2018179526,중앙케이블네트워크(주),노상우,분석,50893461,87.953,87.536,-0.23711 (99.76289),,2024/11/27 10:45:16,
36,137,2048651425,주식회사 메이사운드,심문섭,분석,50894170,87.954,87.538,-0.23572 (99.76428),,2024/11/26 14:56:20,
37,138,2148673033,대일전기통신(주),김종엽,분석,50895350,87.956,87.54,-0.23340 (99.7666),,2024/11/25 12:25:19,
38,139,1198605337,(주)신한이엔아이,유순자,분석,50895810,87.957,87.54,-0.23250 (99.7675),,2024/11/26 06:01:55,
39,140,2118716350,(주)비엔인더스트리,이재혁,분석,50895960,87.957,87.541,-0.23221 (99.76779),,2024/11/26 16:14:16,
40,141,1208147588,서현정보통신(주),배상만,분석,50898050,87.961,87.544,-0.22811 (99.77189),,2024/11/26 15:25:59,
41,142,1138604679,(주) 투데이게이트,김익훈,분석,50898870,87.962,87.546,-0.22650 (99.7735),,2024/11/28 09:07:36,
42,143,1208802896,주식회사 라임에스엔씨,김종훈,분석,50900040,87.964,87.548,-0.22421 (99.77579),,2024/11/26 09:40:17,
43,144,1108153161,(주)나이츠넷,이용현,분석,50900810,87.965,87.549,-0.22270 (99.7773),,2024/11/27 11:35:40,
44,145,2078148017,(주)명신시스템,노근식,분석,50901048,87.966,87.55,-0.22223 (99.77777),,2024/11/27 16:16:32,
45,146,2298139274,(주)영풍전력설비,심문수,분석,50902300,87.968,87.552,-0.21978 (99.78022),,2024/11/27 14:03:13,
46,147,1198146158,(주)한창기전,임창순,분석,50903000,87.969,87.553,-0.21841 (99.78159),,2024/11/27 09:31:29,
47,148,1078682044,명승파워넷 주식회사,공건식,분석,50903410,87.97,87.554,-0.21760 (99.7824),,2024/11/25 16:44:35,
48,149,2948601665,누리종합전기 주식회사,천금진,분석,50903435,87.97,87.554,-0.21755 (99.78245),,2024/11/26 15:15:53,
49,150,2068179706,(주)씨엠유니버샬,전재용,분석,50903752,87.97,87.554,-0.21693 (99.78307),,2024/11/27 09:38:37,
0,151,1138184945,에스엠티정보기술(주),이묵희,분석,50903966,87.971,87.555,-0.21651 (99.78349),,2024/11/27 10:16:49,
