,순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,예가대비 투찰률(%)  A,기초대비 투찰률(%),기초대비 사정률(%)  A,추첨번호,투찰일시,비고
5,106,1288618438,주식회사 엔지스웨이,최영재,분석,73700150,88.137,89.047,1.04529 (101.04529),12 4,2024/05/22 17:16:58,
6,107,4088168391,금상디엔씨주식회사,박길중,분석,73706178,88.144,89.054,1.05360 (101.0536),7 13,2024/05/22 08:19:05,
7,108,1078197386,(주)아리네트웍스,성동식,분석,73706686,88.145,89.055,1.05429 (101.05429),12 5,2024/05/24 08:58:03,
8,109,8958700597,주식회사 아이티앤에스,김세영,분석,73707413,88.146,89.056,1.05530 (101.0553),14 3,2024/05/22 06:43:20,
9,110,1058153698,진우에이티에스 주식회사,정진태,분석,73709955,88.149,89.059,1.05880 (101.0588),11 14,2024/05/23 17:24:34,
10,111,1068641109,주식회사 피앤지텍,조홍길,분석,73710500,88.149,89.059,1.05955 (101.05955),10 14,2024/05/22 15:29:32,
11,112,1098145720,주식회사 영원텔레콤,김재성,분석,73713150,88.153,89.063,1.06320 (101.0632),2 8,2024/05/22 06:50:43,
12,113,1178119238,주식회사 동양네트워크,김종렬,분석,73716930,88.157,89.067,1.06840 (101.0684),5 13,2024/05/24 12:18:07,
13,114,1198158412,애드넷정보통신(주),박상흥,분석,73718460,88.159,89.069,1.07051 (101.07051),10 12,2024/05/22 10:36:16,
14,115,1088180573,다올정보기술주식회사,한숙기,분석,73722373,88.164,89.074,1.07590 (101.0759),2 11,2024/05/20 16:17:40,
15,116,2148805112,주식회사 지큐이앤씨,구자옥,분석,73722810,88.165,89.074,1.07650 (101.0765),10 6,2024/05/23 10:56:50,
16,117,1058628520,유테크(주),최윤영,분석,73726368,88.169,89.079,1.08140 (101.0814),14 2,2024/05/24 09:06:55,
17,118,1148633857,에스엠이엔지(주),이관휴,분석,73733702,88.178,89.088,1.09150 (101.0915),1 9,2024/05/21 13:22:24,
