,순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,예가대비 투찰률(%),기초대비 투찰률(%),기초대비 사정률(%),추첨번호,투찰일시,비고
48,99,1198646212,주식회사 에프에스네트웍스,이화수,분석,18864760,89.403,88.721,0.81939 (100.81939),,2024/09/12 08:54:14,99순위
49,100,1888601171,에이케이에스정보주식회사,안기수,분석,18867787,89.417,88.735,0.83556 (100.83556),,2024/09/11 00:44:59,100순위
0,101,1138636870,주식회사 나우시스템,이종한,분석,18872660,89.44,88.758,0.86161 (100.86161),,2024/09/12 09:18:50,101순위
1,102,1298181429,느티나무정보통신(주),박주원,분석,18878750,89.469,88.786,0.89415 (100.89415),,2024/09/11 18:22:43,102순위
2,103,1128143733,공간미디어(주),김명숙,분석,18879843,89.474,88.792,0.90000 (100.9),,2024/09/13 07:55:57,103순위
3,104,1068674084,주식회사월드아이,신영구,분석,18883920,89.494,88.811,0.92178 (100.92178),,2024/09/12 08:40:29,104순위
4,105,1278129000,(주)아스텍통신,이부전,분석,18890940,89.527,88.844,0.95930 (100.9593),,2024/09/12 09:46:16,105순위
5,106,1558102480,주식회사 비손정보통신,윤현경,분석,18891000,89.527,88.844,0.95962 (100.95962),,2024/09/12 09:38:35,106순위
6,107,1358117688,주식회사 경훈테크,CHOIHUIBONG,분석,18899000,89.565,88.882,1.00238 (101.00238),,2024/09/09 21:10:24,107순위
7,108,5558701607,주식회사 미래아이엔지,한순자,분석,18899266,89.566,88.883,1.00380 (101.0038),,2024/09/11 16:02:38,108순위
8,109,1188114949,이주씨스템(주),이복균,분석,18903460,89.586,88.903,1.02621 (101.02621),,2024/09/13 09:15:14,109순위
9,110,8418801179,주식회사 태경정보통신,나정은,분석,18904260,89.59,88.906,1.03049 (101.03049),,2024/09/13 09:07:48,110순위
10,111,1178156325,주식회사 더나은산업,이예나,분석,18910000,89.617,88.933,1.06116 (101.06116),,2024/09/12 09:30:51,111순위
11,112,1288602824,주식회사 우성텔레콤,송상의,분석,18912600,89.63,88.946,1.07506 (101.07506),,2024/09/12 15:05:51,112순위
12,113,1068633138,포에스미디어(주),원태우,분석,18920801,89.668,88.984,1.11889 (101.11889),,2024/09/12 16:06:53,113순위
13,114,1138137229,두복산전(주),이영두,분석,18923650,89.682,88.998,1.13411 (101.13411),,2024/09/12 10:47:20,114순위
14,115,2308800235,주식회사 낙원통신,장미선,분석,18929000,89.707,89.023,1.16271 (101.16271),,2024/09/12 06:58:10,115순위
15,116,1358126192,주식회사 부림,배우상,분석,18929060,89.708,89.023,1.16303 (101.16303),,2024/09/13 08:55:47,116순위
16,117,1348712509,신우정보통신 주식회사,심원용,분석,18932700,89.725,89.04,1.18248 (101.18248),,2024/09/11 14:42:50,117순위
17,118,1098156682,한국이엠에스(주),이재덕,분석,19074160,90.395,89.705,1.93849 (101.93849),,2024/09/10 15:16:29,118순위
18,119,2148840477,주식회사 알비에스테크,김동헌,분석,19259782,91.275,90.578,2.93051 (102.93051),,2024/09/13 09:11:08,119순위
19,120,7098602638,주식회사 시그널아이씨티,강민희,분석,21071630,99.862,99.099,12.61362 (112.61362),,2024/09/12 23:06:11,120순위
20,121,7288600999,주식회사 다경테크,박현승,분석,21080000,99.901,99.139,12.65835 (112.65835),,2024/09/11 17:49:22,121순위
21,-1,1058715226,에스오에스미디어 (주),김수영,분석,18529214,87.813,87.142,-0.97388 (99.02612),,2024/09/10 17:18:05,낙찰하한가미만
22,-2,1408110372,(주)지성하이텍,송혜선,분석,18494542,87.648,86.979,-1.15918 (98.84082),,2024/09/13 09:22:18,낙찰하한가미만
