bidNtceNo,bidNtceNm,opengDate,opengRank,bidprcCorpNm
20091220119,양평군 양평어린이집 리모델링공사(전기),2010-01-04,724,주식회사 배화
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,511,(주)이피에스
20091216486,안산시 사3동 주민센터 건립공사(건축),2010-01-05,90,경민건설 주식회사
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,513,신유전기(주)
20091220119,양평군 양평어린이집 리모델링공사(전기),2010-01-04,1450,삼성이엔씨
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,514,(주)화인이앤텍
20091216486,안산시 사3동 주민센터 건립공사(건축),2010-01-05,92,(주)대한건설
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,517,에쓰이씨 주식회사
20091220119,양평군 양평어린이집 리모델링공사(전기),2010-01-04,362,삼광전기공사
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,519,서전엔지니어링(주)
20091216486,안산시 사3동 주민센터 건립공사(건축),2010-01-05,94,(주)솔빛건설
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,521,(주)광현이앤씨
20091220119,양평군 양평어린이집 리모델링공사(전기),2010-01-04,1452,주식회사 오송이엔지
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,523,모범전설(주)
20091216486,안산시 사3동 주민센터 건립공사(건축),2010-01-05,96,신림종합건설(주)
