순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,예가대비 투찰률(%)  A,기초대비 투찰률(%),순공사대비 사정률(%),추첨번호,투찰일시,비고
98,7988800880,뉴테크정보통신 주식회사,,분석,2758738830,88.79,88.93,-0.4103 (99.5897),3 4,2023/05/02 10:15:42,미심사
99,3148124287,미래정보산업(주),,분석,2758745083,88.791,88.93,-0.4101 (99.5899),10 2,2023/05/02 09:57:55,미심사
100,1228166223,(주)홀리랜드테크놀러지,,분석,2758775444,88.792,88.931,-0.4090 (99.591),13 11,2023/05/02 09:16:34,미심사
101,1088167041,(주)가디엘,,분석,2758813000,88.793,88.932,-0.4077 (99.5923),5 11,2023/05/02 11:17:24,미심사
102,3018145549,충청통신(자),,분석,2758841280,88.794,88.933,-0.4066 (99.5934),8 12,2023/05/03 10:26:56,미심사
103,1168161465,(주)솔루텍시스템,,분석,2758958502,88.798,88.937,-0.4024 (99.5976),5 4,2023/05/02 09:46:50,미심사
104,1138629821,동문이엔티 주식회사,,분석,2759046260,88.801,88.94,-0.3992 (99.6008),11 12,2023/05/02 19:07:18,미심사
105,2158602337,지엔네텔(주),,분석,2759087000,88.802,88.941,-0.3978 (99.6022),12 3,2023/05/03 12:31:06,미심사
106,3088141919,주식회사조은통신,,분석,2759146030,88.805,88.943,-0.3956 (99.6044),4 1,2023/05/02 16:12:05,미심사
107,1058727284,(주)조은네트웍스,,분석,2759323270,88.811,88.949,-0.3892 (99.6108),15 11,2023/05/02 11:27:09,미심사
108,2108122823,우영정보통신(주),,분석,2759418900,88.814,88.952,-0.3858 (99.6142),8 14,2023/05/02 09:44:08,미심사
109,2158168163,블루엔이(주),,분석,2759475626,88.816,88.954,-0.3837 (99.6163),11 13,2023/04/28 15:24:17,미심사
110,4118136823,(유)태양소방통신,,분석,2759500550,88.817,88.954,-0.3829 (99.6171),14 2,2023/05/02 09:24:17,미심사
111,2298138071,주식회사 싸이몬,,분석,2759600281,88.82,88.958,-0.3792 (99.6208),12 9,2023/05/03 09:13:37,미심사
112,1058720734,주식회사 광안이앤씨,,분석,2759663150,88.822,88.96,-0.3770 (99.623),13 1,2023/05/03 08:38:55,미심사
113,3118131154,주식회사 유어스시스템,,분석,2759690000,88.823,88.96,-0.3760 (99.624),9 7,2023/05/02 16:35:07,미심사
114,2218138626,유한회사 제일이엔지,,분석,2759752637,88.825,88.963,-0.3737 (99.6263),2 7,2023/05/02 11:05:17,미심사
115,1228643550,주식회사 썬플라워즈,,분석,2759795657,88.827,88.964,-0.3722 (99.6278),14 12,2023/05/02 19:53:25,미심사
116,2028138682,협진통신(주),,분석,2759810809,88.827,88.964,-0.3716 (99.6284),9 14,2023/05/02 16:42:02,미심사
117,2148612657,주식회사 와이어블(Wiable Corp.),,분석,2759855130,88.829,88.966,-0.3701 (99.6299),15 5,2023/05/02 17:52:40,미심사
118,2188101953,주식회사 비츠로시스,,분석,2759868981,88.829,88.966,-0.3695 (99.6305),4 14,2023/05/02 10:48:05,미심사
119,1298173609,주식회사 문아이앤시,,분석,2759877291,88.83,88.967,-0.3692 (99.6308),6 3,2023/05/03 09:05:57,미심사
120,2018603701,소성정보기술 주식회사,,분석,2759885675,88.83,88.967,-0.3689 (99.6311),11 14,2023/05/03 08:37:00,미심사
121,2098211809,사단법인 해오름장애인협회,,분석,2759896682,88.83,88.967,-0.3685 (99.6315),14 3,2023/05/03 09:15:10,미심사
122,1218152916,우정정보통신(주),,분석,2759954850,88.832,88.969,-0.3665 (99.6335),12 5,2023/04/28 16:46:10,미심사
123,1288179309,주식회사 천일,,분석,2760015797,88.834,88.971,-0.3642 (99.6358),6 11,2023/05/02 17:06:37,미심사
124,1238163705,주식회사 동명이엔씨,,분석,2760065781,88.836,88.973,-0.3624 (99.6376),14 12,2023/05/02 17:05:10,미심사
125,2068650742,한선씨앤씨 주식회사,,분석,2760066674,88.836,88.973,-0.3624 (99.6376),12 4,2023/04/28 14:02:39,미심사
126,1048157783,(주)서울정보컴,,분석,2760068460,88.836,88.973,-0.3623 (99.6377),8 5,2023/04/28 11:57:41,미심사
127,2298130972,(주)태주이엔지,,분석,2760082748,88.837,88.973,-0.3618 (99.6382),14 9,2023/05/02 17:14:21,미심사
128,5088138066,주식회사 유엔텍,,분석,2760085426,88.837,88.973,-0.3617 (99.6383),13 1,2023/05/03 09:48:38,미심사
129,2108173069,주식회사 대한전력,,분석,2760099714,88.837,88.974,-0.3612 (99.6388),7 10,2023/05/02 16:47:24,미심사
130,1058649262,주식회사 노하우전기통신,,분석,2760154302,88.839,88.975,-0.3592 (99.6408),1 6,2023/05/02 09:29:38,미심사
131,1348607315,주식회사 테크미컴,,분석,2760180082,88.84,88.976,-0.3583 (99.6417),7 5,2023/05/02 16:18:29,미심사
