,순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,예가대비 투찰률(%)  A,기초대비 투찰률(%),기초대비 사정률(%)  A,추첨번호,투찰일시,비고
40,91,2618126604,주식회사 래오시스,윤경,분석,101065750.0,87.969,87.894,-0.66321 (99.33679),5 3,2024/08/16 16:08:37,
41,92,2118193336,(주)국제비엠에스,윤도선,분석,101066359.0,87.97,87.895,-0.66261 (99.33739),1 10,2024/08/19 10:22:12,
42,93,4468801407,(주)큐엔큐,장나미,분석,101066660.0,87.97,87.895,-0.66231 (99.33769),14 3,2024/08/16 13:48:28,
43,94,6468601207,주식회사 심시스글로벌(SIMSYSGLOBAL Inc.),김윤제,분석,101068280.0,87.972,87.896,-0.66070 (99.3393),15 4,2024/08/19 09:52:17,
44,95,2208143387,(주)글로벌텔레콤,서승현,분석,101068500.0,87.972,87.896,-0.66048 (99.33952),10 9,2024/08/19 16:01:55,
45,96,1148611926,(주)동진이앤티,김미화,분석,101069280.0,87.973,87.897,-0.65971 (99.34029),15 6,2024/08/19 10:57:26,
46,97,1068669669,(주)일광통신,이병일,분석,101071500.0,87.975,87.899,-0.65751 (99.34249),5 8,2024/08/19 07:18:10,
47,98,1188108054,대한신호(주),안지수,분석,101072211.0,87.975,87.9,-0.65681 (99.34319),9 8,2024/08/19 17:23:27,
48,99,7048701285,주식회사 하랑에스아이,김호중,분석,101075840.0,87.979,87.903,-0.65321 (99.34679),12 15,2024/08/19 08:14:20,
49,100,1928702481,주식회사 크랜베리,이은혜,분석,101083008.0,87.986,87.909,-0.64610 (99.3539),6 7,2024/08/19 09:24:44,
0,101,2178135988,주식회사 조은정보,조용정,분석,101085329.0,87.988,87.911,-0.64380 (99.3562),13 1,2024/08/19 15:55:23,
1,102,1198647905,주식회사 리안시스템,원미리,분석,101085930.0,87.988,87.912,-0.64321 (99.35679),7 15,2024/08/16 11:35:14,
2,103,1208742606,주식회사 테눅스,전석순,분석,101086240.0,87.989,87.912,-0.64290 (99.3571),3 13,2024/08/16 14:44:07,
3,104,1408169475,주식회사 제이앤제이파워스,박재옥,분석,101086900.0,87.989,87.912,-0.64225 (99.35775),10 12,2024/08/20 09:01:21,
4,105,6318800044,화인씨엔이 주식회사,김영심,분석,101090674.0,87.993,87.916,-0.63851 (99.36149),12 9,2024/08/20 13:58:31,
5,106,1108130339,(주)기양상사,조효진,분석,101090900.0,87.993,87.916,-0.63828 (99.36172),1 9,2024/08/16 16:14:55,
6,107,2648146574,주식회사 넷츠플러스,송주흔,분석,101091000.0,87.993,87.916,-0.63818 (99.36182),1 12,2024/08/16 17:39:26,
7,108,8028800189,주식회사 아이앤서브,박광열,분석,101092420.0,87.994,87.917,-0.63678 (99.36322),13 9,2024/08/20 09:46:26,
8,109,2298139274,(주)영풍전력설비,심문수,분석,101094300.0,87.996,87.919,-0.63491 (99.36509),15 10,2024/08/19 09:46:52,
9,110,1058179892,(주)지에스컴,김형호,분석,101095410.0,87.997,87.92,-0.63381 (99.36619),11 12,2024/08/19 07:32:52,
