,순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,예가대비 투찰률(%)  A,기초대비 투찰률(%),기초대비 사정률(%)  A,추첨번호,투찰일시,비고
10,61,1078746443,(주)라인테크놀로지,유현식,분석,865230191,88.434,89.064,0.63063 (100.63063),3 7,2024/01/22 15:47:07,
11,62,5028173314,(주)월드정보기술,최동열,분석,865245000,88.435,89.066,0.63237 (100.63237),7 9,2024/01/19 09:18:49,
12,63,1018116968,(주)넥슨정보통신,신양인,분석,865252020,88.436,89.066,0.63319 (100.63319),14 8,2024/01/23 07:21:49,
13,64,1088107572,세빈테크(주),박재영,분석,865276527,88.439,89.069,0.63607 (100.63607),1 12,2024/01/22 21:28:48,
14,65,3148106765,합자회사 일육,김진태,분석,865326000,88.444,89.074,0.64187 (100.64187),10 14,2024/01/22 09:41:52,
15,66,5028170641,세움전기 주식회사,김진태,분석,865678755,88.483,89.11,0.68326 (100.68326),10 3,2024/01/22 16:37:16,
16,67,1148190678,주식회사 에드원,김춘걸,분석,865681000,88.483,89.111,0.68352 (100.68352),14 4,2024/01/18 16:24:29,
17,68,6091665683,시스엔,정보근,분석,865696262,88.485,89.112,0.68531 (100.68531),12 7,2024/01/22 09:18:44,
18,69,3020140152,옥천사무기,서종근,분석,865737640,88.49,89.116,0.69016 (100.69016),3 5,2024/01/18 14:10:40,
19,70,4078600433,주식회사 강성티이씨,이기양,분석,865774565,88.494,89.12,0.69450 (100.6945),1 3,2024/01/21 18:12:34,
20,71,3168115431,(주)두원,이재성,분석,865777787,88.494,89.121,0.69487 (100.69487),15 4,2024/01/19 16:02:00,
21,72,1418128934,에스유앤텔레콤주식회사,안경자,분석,865939010,88.512,89.137,0.71379 (100.71379),12 13,2024/01/18 10:23:06,
22,73,1288602824,주식회사 우성텔레콤,송상의,분석,865941700,88.512,89.137,0.71410 (100.7141),4 8,2024/01/18 16:21:17,
23,74,2248125227,(주)상건,서상진,분석,865947600,88.513,89.138,0.71480 (100.7148),15 4,2024/01/22 18:17:22,
24,75,3118117318,주식회사 시온,조영호,분석,865988760,88.517,89.142,0.71962 (100.71962),12 8,2024/01/22 14:24:17,
25,76,6128112050,주식회사 유일정보통신,조응록,분석,866022800,88.521,89.146,0.72362 (100.72362),12 14,2024/01/23 09:26:01,
26,77,1348143368,주식회사 디피엔,유선영,분석,866058620,88.525,89.15,0.72782 (100.72782),1 3,2024/01/18 10:46:13,
27,78,2158190006,광명인터컴(주),오광세,분석,866059974,88.525,89.15,0.72798 (100.72798),1 9,2024/01/18 12:15:07,
28,79,4118124915,(주)부원정보통신,이인중,분석,866102932,88.53,89.154,0.73302 (100.73302),3 4,2024/01/22 10:09:15,
29,80,4108187159,주식회사 지디이엔티,고미정,분석,866203620,88.541,89.164,0.74483 (100.74483),1 15,2024/01/22 11:05:29,
30,81,4188107799,(유)광명통신,김정웅,분석,866220517,88.543,89.166,0.74681 (100.74681),1 12,2024/01/22 17:42:23,
31,82,1048157634,쿠도커뮤니케이션(주),김용식,분석,866221380,88.543,89.166,0.74691 (100.74691),15 4,2024/01/23 09:13:14,
32,83,3178105260,주식회사다몬시스템,김형민,분석,866288652,88.55,89.173,0.75481 (100.75481),15 5,2024/01/22 09:45:58,
33,84,1298129419,지에스앤티(주),이득연,분석,866309577,88.552,89.175,0.75726 (100.75726),1 6,2024/01/23 09:58:53,
34,85,3148129657,(주)금강정보,백승부,분석,866367000,88.559,89.181,0.76400 (100.764),5 9,2024/01/22 10:04:21,
