순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,예가대비 투찰률(%)  A,기초대비 투찰률(%),기초대비 사정률(%)  A,추첨번호,투찰일시,비고
-99,1298104500,주식회사 상지카일룸,김영신,분석,64838810,87.419,89.009,0.58220 (100.5822),8 14,2023/11/20 10:48:54,낙찰하한선 미달
-100,1148608950,주식회사 알티솔루션,허병회,분석,64836313,87.415,89.005,0.57830 (100.5783),3 1,2023/11/17 09:59:08,낙찰하한선 미달
-101,2148711728,에이에이씨케이(주),주수양,분석,64836312,87.415,89.005,0.57829 (100.57829),1 8,2023/11/17 14:22:37,낙찰하한선 미달
-102,1068669669,(주)일광통신,이병일,분석,64834780,87.413,89.003,0.57590 (100.5759),6 11,2023/11/17 08:53:20,낙찰하한선 미달
-103,1068656301,주식회사 티제이원,최정국,분석,64834150,87.412,89.002,0.57491 (100.57491),10 2,2023/11/16 11:19:28,낙찰하한선 미달
-104,1018635413,(주)씨유앰앤아이,김정순,분석,64834080,87.412,89.002,0.57480 (100.5748),5 9,2023/11/17 09:28:22,낙찰하한선 미달
-105,1148131820,(주)대한전광,김재을,분석,64833820,87.412,89.002,0.57440 (100.5744),15 5,2023/11/17 15:23:09,낙찰하한선 미달
-106,1128143733,공간미디어(주),김명숙,분석,64832452,87.41,89.0,0.57226 (100.57226),8 13,2023/11/20 07:47:42,낙찰하한선 미달
-107,2108139396,아이포콤주식회사,김영철,분석,64832200,87.409,89.0,0.57186 (100.57186),14 6,2023/11/20 08:01:33,낙찰하한선 미달
-108,2118620935,주식회사 한양티이씨,조형국,분석,64832000,87.409,88.999,0.57155 (100.57155),12 13,2023/11/16 13:44:47,낙찰하한선 미달
-109,2068666263,세움기술 주식회사,주익중,분석,64831000,87.408,88.998,0.56998 (100.56998),2 12,2023/11/17 16:06:21,낙찰하한선 미달
-110,2178601498,주식회사 엔키텍,원영춘,분석,64830432,87.407,88.997,0.56910 (100.5691),7 11,2023/11/17 09:26:53,낙찰하한선 미달
